t, E, sx, sy, vx, vy, ax, ay
0.016, 1.61212768E8, 500.0, 387.9944, 0.0, 9695.358,0.0, 490758.4
0.032, 1.36291088E8, 500.0, 557.70105, 0.0, 10975.704,0.0, 182266.88
0.048000004, 2.1629064E8, 500.0, 695.06726, 0.0, 4039.4915,0.0, -614540.4
0.064, 2.00044608E8, 500.0, 662.1872, 0.0, -7706.4375,0.0, -691511.5
0.080000006, 1.30874616E8, 500.0, 496.75595, 0.0, -11436.752,0.0, 46770.97
0.09600001, 2.2605944E8, 500.0, 321.48645, 0.0, -7749.6465,0.0, 461143.7
0.11200001, 2.46546032E8, 500.0, 296.69693, 0.0, 5103.048,0.0, 836586.6
0.128, 1.56566512E8, 500.0, 452.59595, 0.0, 12018.342,0.0, 227551.61
0.14399998, 2.35618976E8, 500.0, 651.7406, 0.0, 10824.4,0.0, -271423.28
0.15999995, 2.90738272E8, 500.0, 731.9853, 0.0, -2101.2896,0.0, -914083.2
0.17599992, 2.11498224E8, 500.0, 598.06665, 0.0, -12631.099,0.0, -482560.38
0.1919999, 2.38199936E8, 500.0, 383.06897, 0.0, -13009.682,0.0, 60987.125
0.20799987, 3.21628832E8, 500.0, 254.15744, 0.0, -1051.7158,0.0, 917551.3
0.22399984, 2.621236E8, 500.0, 355.44855, 0.0, 12223.631,0.0, 697213.5
0.23999982, 2.28165152E8, 500.0, 576.93024, 0.0, 14124.435,0.0, 152988.31
0.2559998, 3.30531616E8, 500.0, 743.7197, 0.0, 4098.2334,0.0, -846526.1
0.27199984, 2.97515488E8, 500.0, 683.0585, 0.0, -10826.805,0.0, -853841.2
0.28799987, 2.04658512E8, 500.0, 465.04678, 0.0, -14075.66,0.0, 146037.94
0.3039999, 3.13832192E8, 500.0, 274.2654, 0.0, -6790.995,0.0, 706585.0
0.31999993, 3.10647168E8, 500.0, 289.5692, 0.0, 8551.459,0.0, 939603.0
0.33599997, 1.93544576E8, 500.0, 494.227, 0.0, 13904.542,0.0, 65705.6
0.352, 2.74294976E8, 500.0, 693.33295, 0.0, 8913.293,0.0, -508908.66
0.36800003, 3.00383136E8, 500.0, 724.4738, 0.0, -5579.616,0.0, -947541.1
0.38400006, 1.98126176E8, 500.0, 549.99725, 0.0, -13583.46,0.0, -271212.72
0.4000001, 2.86287808E8, 500.0, 329.10135, 0.0, -11638.743,0.0, 346992.84
0.41600013, 3.43386848E8, 500.0, 249.5705, 0.0, 3003.1907,0.0, 1020502.06
0.43200016, 2.49553232E8, 500.0, 405.97006, 0.0, 14196.318,0.0, 494488.28
0.4480002, 2.77603232E8, 500.0, 638.8356, 0.0, 13396.051,0.0, -158227.2
0.46400023, 3.59096352E8, 500.0, 759.8942, 0.0, -204.11084,0.0, -1009949.3
0.48000026, 2.8369888E8, 500.0, 634.12836, 0.0, -13650.736,0.0, -675740.3
0.4960003, 2.46494096E8, 500.0, 400.31525, 0.0, -14040.421,0.0, -42244.684
0.5120003, 3.430984E8, 500.0, 247.96234, 0.0, -2592.5115,0.0, 916473.56
