t, E, sx, sy, vx, vy, ax, ay
0.02, 2.2980336E8, 500.0, 343.43842, 0.0, 5355.679,0.0, 221628.05
0.039999995, 1.38252432E8, 500.0, 469.9058, 0.0, 6844.7007,0.0, -25853.855
0.05999999, 1.13918496E8, 500.0, 601.1323, 0.0, 6006.168,0.0, -89348.984
0.08, 1.65776608E8, 500.0, 693.547, 0.0, 1583.7201,0.0, -281105.75
0.10000001, 2.3425264E8, 500.0, 680.2521, 0.0, -4226.004,0.0, -266283.56
0.12000002, 1.75391424E8, 500.0, 567.0938, 0.0, -7048.9697,0.0, -47797.832
0.14, 1.1418604E8, 500.0, 431.30923, 0.0, -6571.172,0.0, 24008.89
0.15999998, 1.49817168E8, 500.0, 319.41666, 0.0, -3062.342,0.0, 252526.53
0.17999996, 2.3074424E8, 500.0, 302.56445, 0.0, 2924.233,0.0, 297751.8
0.19999994, 2.09947456E8, 500.0, 397.4627, 0.0, 6923.9336,0.0, 117754.734
0.21999992, 1.1588032E8, 500.0, 536.28174, 0.0, 6806.003,0.0, 40651.836
0.2399999, 1.38073136E8, 500.0, 661.7543, 0.0, 4353.0947,0.0, -212665.95
0.2599999, 2.19709984E8, 500.0, 707.10394, 0.0, -1518.9834,0.0, -314095.16
0.27999988, 2.36490944E8, 500.0, 634.4948, 0.0, -6471.1484,0.0, -180120.92
0.29999986, 1.16515256E8, 500.0, 494.5074, 0.0, -6689.641,0.0, 96649.25
0.31999984, 1.29574512E8, 500.0, 362.19904, 0.0, -5385.972,0.0, 163207.73
0.33999982, 2.02176096E8, 500.0, 291.4772, 0.0, 77.85156,0.0, 314070.4
0.3599998, 2.50579616E8, 500.0, 338.77344, 0.0, 5704.1606,0.0, 231555.67
0.3799998, 1.5043512E8, 500.0, 472.81268, 0.0, 7209.0557,0.0, -30888.543
0.39999977, 1.22588208E8, 500.0, 609.7017, 0.0, 6109.193,0.0, -106114.17
0.41999975, 1.7999832E8, 500.0, 701.47406, 0.0, 1336.241,0.0, -297292.94
0.43999973, 2.5003104E8, 500.0, 681.4658, 0.0, -4649.4995,0.0, -269525.56
0.4599997, 1.80697056E8, 500.0, 560.396, 0.0, -7332.6836,0.0, -35096.605
0.4799997, 1.15534576E8, 500.0, 421.48627, 0.0, -6493.077,0.0, 43614.97
0.49999967, 1.55968608E8, 500.0, 313.83234, 0.0, -2667.3018,0.0, 264366.88
0.5199997, 2.35681008E8, 500.0, 305.64938, 0.0, 3347.8398,0.0, 292481.9
0.53999966, 2.03295376E8, 500.0, 407.21643, 0.0, 7054.233,0.0, 98698.44
0.55999964, 1.07581568E8, 500.0, 545.53705, 0.0, 6531.72,0.0, 21781.344
0.5799996, 1.33552928E8, 500.0, 663.43304, 0.0, 3866.964,0.0, -216952.78
0.5999996, 2.11413952E8, 500.0, 699.61835, 0.0, -1854.8519,0.0, -299937.2
0.6199996, 2.16572768E8, 500.0, 623.1811, 0.0, -6394.53,0.0, -157565.8
0.63999957, 9.9818136E7, 500.0, 487.83762, 0.0, -6242.2134,0.0, 110742.7
0.65999955, 1.16233456E8, 500.0, 365.44806, 0.0, -4893.877,0.0, 157748.47
0.67999953, 1.83205952E8, 500.0, 302.5701, 0.0, 241.16687,0.0, 292427.66
0.6999995, 2.2120944E8, 500.0, 349.5695, 0.0, 5400.806,0.0, 209576.67
0.7199995, 1.28093904E8, 500.0, 475.06705, 0.0, 6651.414,0.0, -36456.906
0.7399995, 1.0646352E8, 500.0, 601.34845, 0.0, 5712.183,0.0, -90359.164
0.75999945, 1.57444832E8, 500.0, 688.45245, 0.0, 1409.1354,0.0, -271363.16
0.77999943, 2.1948752E8, 500.0, 673.5163, 0.0, -4143.208,0.0, -252781.34
0.7999994, 1.6095112E8, 500.0, 563.7866, 0.0, -6761.483,0.0, -40679.57
0.8199994, 1.04709264E8, 500.0, 434.0919, 0.0, -6289.9155,0.0, 19055.645
0.8399994, 1.39006144E8, 500.0, 326.4144, 0.0, -3002.0498,0.0, 238789.0
0.85999936, 2.13994096E8, 500.0, 308.6121, 0.0, 2708.6133,0.0, 285349.34
0.87999934, 1.95725152E8, 500.0, 397.9099, 0.0, 6585.625,0.0, 116199.2
0.8999993, 7.83738E7, 500.0, 530.56006, 0.0, 5598.01,0.0, -148429.98
0.9199993, 1.00993504E8, 500.0, 636.12476, 0.0, 3871.713,0.0, -162867.66
0.9399993, 1.60706048E8, 500.0, 680.3028, 0.0, -877.1593,0.0, -259752.55
0.95999926, 1.76732912E8, 500.0, 626.91235, 0.0, -5149.953,0.0, -162489.88
0.97999924, 8.944892E7, 500.0, 512.70624, 0.0, -5669.0024,0.0, 62633.01
0.9999992, 7.813884E7, 500.0, 407.50598, 0.0, -4717.676,0.0, 74814.336
1.0199993, 1.2043952E8, 500.0, 335.59436, 0.0, -1160.4294,0.0, 224257.62
1.0399992, 1.63698352E8, 500.0, 348.00974, 0.0, 3426.1733,0.0, 208755.11
1.0599992, 1.17105592E8, 500.0, 438.70844, 0.0, 5586.289,0.0, 33431.21
1.0799992, 5.4224856E7, 500.0, 541.70435, 0.0, 4574.1357,0.0, 25494.473
1.0999992, 7.8926528E7, 500.0, 625.76404, 0.0, 2892.668,0.0, -144289.97
1.1199992, 1.23752232E8, 500.0, 655.46466, 0.0, -1062.9575,0.0, -210936.05
1.1399992, 1.25615528E8, 500.0, 605.9501, 0.0, -4368.6104,0.0, -119433.27
1.1599991, 5.6549688E7, 500.0, 511.76236, 0.0, -4477.081,0.0, 66862.266
1.1799991, 5.3163604E7, 500.0, 428.11325, 0.0, -4007.4338,0.0, 35414.312
1.1999991, 8.4209928E7, 500.0, 362.9132, 0.0, -1493.04,0.0, 169502.28
1.2199991, 1.18435296E8, 500.0, 361.47995, 0.0, 2262.007,0.0, 179776.17
