t, E, sx, sy, vx, vy, ax, ay
0.02, 1.86156544E8, 500.0, 366.74295, 0.0, 4951.168,0.0, 183777.3
0.039999995, 9.0720464E7, 500.0, 482.23184, 0.0, 5659.827,0.0, -55348.164
0.05999999, 7.9821632E7, 500.0, 585.5532, 0.0, 4952.759,0.0, -63740.758
0.08, 1.04891824E8, 500.0, 648.20404, 0.0, 1739.2261,0.0, -200958.22
0.10000001, 1.14793856E8, 500.0, 632.06647, 0.0, -2218.4482,0.0, -175583.34
0.12000002, 7.266484E7, 500.0, 560.40674, 0.0, -4013.181,0.0, -30031.318
0.14, 1.8458414E7, 500.0, 492.19684, 0.0, -2703.3538,0.0, 114801.5
0.15999998, 3.7112232E7, 500.0, 430.59418, 0.0, -2982.373,0.0, 34225.73
0.17999996, 5.5611544E7, 500.0, 391.98038, 0.0, -1113.1547,0.0, 118565.36
0.19999994, 6.0331848E7, 500.0, 400.16177, 0.0, 1260.5879,0.0, 106466.086
0.21999992, 3.8501308E7, 500.0, 442.31067, 0.0, 2386.4695,0.0, 21001.45
0.2399999, 9953648.0, 500.0, 483.5435, 0.0, 1657.3682,0.0, -66419.23
0.2599999, 167974.28, 500.0, 494.8789, 0.0, -132.35278,0.0, -93763.266
0.27999988, 7981569.0, 500.0, 472.81583, 0.0, -1558.9757,0.0, -50770.656
0.29999986, 2.1407306E7, 500.0, 437.9672, 0.0, -1669.698,0.0, 21600.037
0.31999984, 3.3048944E7, 500.0, 416.86984, 0.0, -584.57117,0.0, 67813.52
0.33999982, 3.4562532E7, 500.0, 422.3514, 0.0, 749.9119,0.0, 59173.78
0.3599998, 2.2748316E7, 500.0, 446.53653, 0.0, 1353.7502,0.0, 10046.06
0.3799998, 8232762.0, 500.0, 469.5275, 0.0, 910.57697,0.0, -38775.04
0.39999977, 2980631.8, 500.0, 475.2676, 0.0, -108.895905,0.0, -52857.54
0.41999975, 7555871.0, 500.0, 462.302, 0.0, -897.8773,0.0, -27489.525
0.43999973, 1.6107483E7, 500.0, 442.6053, 0.0, -933.9001,0.0, 13470.252
0.4599997, 2.2956346E7, 500.0, 431.10165, 0.0, -304.95996,0.0, 38746.402
0.4799997, 2.3331534E7, 500.0, 434.6809, 0.0, 444.59647,0.0, 32851.246
0.49999967, 1.6785428E7, 500.0, 448.54297, 0.0, 767.24774,0.0, 4644.132
0.5199997, 9115846.0, 500.0, 461.34912, 0.0, 499.44705,0.0, -22593.303
0.53999966, 6301930.5, 500.0, 464.2145, 0.0, -80.72661,0.0, -29771.512
0.55999964, 9018522.0, 500.0, 456.61316, 0.0, -516.48553,0.0, -14843.217
0.5799996, 1.4176377E7, 500.0, 445.4901, 0.0, -521.8459,0.0, 8318.644
0.5999996, 1.807748E7, 500.0, 439.2312, 0.0, -157.8627,0.0, 22116.34
0.6199996, 1.807425E7, 500.0, 441.52377, 0.0, 262.7702,0.0, 18216.436
0.63999957, 1.439155E7, 500.0, 449.46048, 0.0, 434.46066,0.0, 2039.3344
0.65999955, 1.0240427E7, 500.0, 456.58597, 0.0, 273.46198,0.0, -13140.847
0.67999953, 8740516.0, 500.0, 457.9903, 0.0, -56.40441,0.0, -16753.73
