t, E, sx, sy, vx, vy, ax, ay
0.005, 2.0543672E8, 500.0, 303.75012, 0.0, 1470.048,0.0, 300009.8
0.01, 2.0518456E8, 500.0, 314.60974, 0.0, 2808.9678,0.0, 280749.2
0.015, 1.982232E8, 500.0, 331.75858, 0.0, 3955.5044,0.0, 248318.58
0.02, 1.84467584E8, 500.0, 354.0967, 0.0, 4860.375,0.0, 204848.61
0.024999999, 1.64780752E8, 500.0, 380.31024, 0.0, 5488.2393,0.0, 152933.38
0.029999997, 1.40825312E8, 500.0, 408.94498, 0.0, 5818.902,0.0, 95483.4
0.034999996, 1.14784176E8, 500.0, 438.4841, 0.0, 5847.716,0.0, 35568.63
0.039999995, 8.90086E7, 500.0, 467.42593, 0.0, 5585.1963,0.0, -23740.123
0.044999994, 6.566198E7, 500.0, 494.35788, 0.0, 5055.901,0.0, -79523.64
0.049999993, 7.0404776E7, 500.0, 518.02295, 0.0, 5296.653,0.0, -129153.164
0.054999992, 7.4342736E7, 500.0, 544.7761, 0.0, 5270.031,0.0, 21590.678
0.05999999, 7.888688E7, 500.0, 570.73, 0.0, 4982.937,0.0, -31702.693
0.06499999, 8.4347872E7, 500.0, 594.62823, 0.0, 4459.927,0.0, -81313.664
0.06999999, 9.086352E7, 500.0, 615.3663, 0.0, 3736.2905,0.0, -124926.08
0.074999996, 9.8167296E7, 500.0, 632.04004, 0.0, 2855.8794,0.0, -160613.08
0.08, 1.05601504E8, 500.0, 643.983, 0.0, 1868.5874,0.0, -186917.31
0.085, 1.12220256E8, 500.0, 650.7896, 0.0, 827.6393,0.0, -202904.84
0.09, 1.16959576E8, 500.0, 652.32544, 0.0, -213.18518,0.0, -208190.53
0.095000006, 1.18835448E8, 500.0, 648.72284, 0.0, -1202.24,0.0, -202935.6
0.10000001, 1.1713148E8, 500.0, 640.3639, 0.0, -2092.4917,0.0, -187817.95
0.10500001, 1.11538632E8, 500.0, 627.8517, 0.0, -2843.672,0.0, -163978.05
0.110000014, 1.02222328E8, 500.0, 611.9715, 0.0, -3424.0068,0.0, -132944.2
0.11500002, 8.9807648E7, 500.0, 593.6447, 0.0, -3811.4585,0.0, -96541.13
0.12000002, 7.5287208E7, 500.0, 573.87756, 0.0, -3994.433,0.0, -56787.96
0.12500001, 5.9873296E7, 500.0, 553.708, 0.0, -3971.9426,0.0, -15789.862
0.13000001, 4.4822368E7, 500.0, 534.1529, 0.0, -3753.2341,0.0, 24369.324
0.135, 3.1263836E7, 500.0, 516.1583, 0.0, -3356.9272,0.0, 61729.887
0.14, 2.0062296E7, 500.0, 500.55554, 0.0, -2809.7163,0.0, 94548.57
0.145, 2.4957612E7, 500.0, 488.02417, 0.0, -3144.7288,0.0, 121376.45
0.14999999, 2.9473678E7, 500.0, 471.66452, 0.0, -3315.426,0.0, -50880.707
0.15499999, 3.4203728E7, 500.0, 454.87744, 0.0, -3314.8398,0.0, -16795.832
0.15999998, 3.9093228E7, 500.0, 438.5129, 0.0, -3149.7778,0.0, 16773.637
0.16499998, 4.4175592E7, 500.0, 423.3663, 0.0, -2834.9404,0.0, 48182.207
0.16999997, 4.9377684E7, 500.0, 410.14105, 0.0, -2391.8792,0.0, 75956.72
0.17499997, 5.4489244E7, 500.0, 399.41745, 0.0, -1847.6548,0.0, 98862.73
0.17999996, 5.9169228E7, 500.0, 391.62863, 0.0, -1233.2783,0.0, 115956.14
0.18499996, 6.2987488E7, 500.0, 387.04498, 0.0, -582.0145,0.0, 126618.766
0.18999995, 6.5491504E7, 500.0, 385.76712, 0.0, 72.35809,0.0, 130575.95
0.19499995, 6.6284636E7, 500.0, 387.72763, 0.0, 697.24274,0.0, 127896.7
0.19999994, 6.5099992E7, 500.0, 392.70105, 0.0, 1262.797,0.0, 118976.6
0.20499994, 6.18549E7, 500.0, 400.32135, 0.0, 1743.3032,0.0, 104505.33
0.20999993, 5.66766E7, 500.0, 410.10562, 0.0, 2118.282,0.0, 85420.67
0.21499993, 4.9894412E7, 500.0, 421.4827, 0.0, 2373.301,0.0, 62852.3
0.21999992, 4.2000624E7, 500.0, 433.82492, 0.0, 2500.4526,0.0, 38058.0
0.22499992, 3.3587624E7, 500.0, 446.48163, 0.0, 2498.4873,0.0, 12356.338
0.22999991, 2.5273032E7, 500.0, 458.8123, 0.0, 2372.6125,0.0, -12941.3545
0.23499991, 1.762562E7, 500.0, 470.2179, 0.0, 2133.9785,0.0, -36595.67
0.2399999, 1.1103799E7, 500.0, 480.16907, 0.0, 1798.8896,0.0, -57497.82
0.2449999, 6015610.0, 500.0, 488.22952, 0.0, 1387.7921,0.0, -74719.45
0.2499999, 2504202.5, 500.0, 494.0741, 0.0, 924.09454,0.0, -87551.58
0.2549999, 558473.44, 500.0, 497.50043, 0.0, 432.88953,0.0, -95531.15
0.2599999, 43731.484, 500.0, 498.4342, 0.0, -60.358032,0.0, -98454.17
0.2649999, 744530.2, 500.0, 496.9277, 0.0, -531.0901,0.0, -96375.74
0.2699999, 2410484.2, 500.0, 493.15228, 0.0, -956.8375,0.0, -89596.89
0.2749999, 4796467.5, 500.0, 487.3851, 0.0, -1318.2529,0.0, -78640.06
0.27999988, 7690783.5, 500.0, 479.99115, 0.0, -1599.9471,0.0, -64214.375
0.28499988, 1.0928058E7, 500.0, 471.40176, 0.0, -1791.0957,0.0, -47172.92
0.28999987, 1.4387036E7, 500.0, 462.09048, 0.0, -1885.7965,0.0, -28464.963
0.29499987, 1.7976648E7, 500.0, 452.54794, 0.0, -1883.1672,0.0, -9084.795
0.29999986, 2.1615714E7, 500.0, 443.25684, 0.0, -1787.1897,0.0, 9979.252
