t, E, sx, sy, vx, vy, ax, ay
0.005, 1.98067264E8, 500.0, 303.68497, 0.0, 1458.1936,0.0, 300009.8
0.01, 1.91839408E8, 500.0, 314.36694, 0.0, 2788.044,0.0, 280974.3
0.015, 1.8113488E8, 500.0, 331.25024, 0.0, 3929.6763,0.0, 248971.58
0.02, 1.66253104E8, 500.0, 353.26767, 0.0, 4834.7505,0.0, 206071.89
0.024999999, 1.4795008E8, 500.0, 379.14334, 0.0, 5468.3667,0.0, 154796.47
0.029999997, 1.27352416E8, 500.0, 407.46304, 0.0, 5810.2437,0.0, 97976.17
0.034999996, 1.05816656E8, 500.0, 436.74872, 0.0, 5855.1333,0.0, 38601.76
0.039999995, 8.475884E7, 500.0, 465.53317, 0.0, 5612.49,0.0, -20328.703
0.044999994, 6.5483744E7, 500.0, 492.43112, 0.0, 5105.4297,0.0, -75956.46
0.049999993, 6.8964768E7, 500.0, 517.85376, 0.0, 5185.034,0.0, -125695.875
0.054999992, 7.637156E7, 500.0, 543.8454, 0.0, 5168.586,0.0, 22822.006
0.05999999, 8.3870464E7, 500.0, 569.1185, 0.0, 4900.5166,0.0, -29029.682
0.06499999, 9.1160736E7, 500.0, 592.4679, 0.0, 4403.777,0.0, -77431.39
0.06999999, 9.8009584E7, 500.0, 612.8293, 0.0, 3711.5764,0.0, -120156.21
0.074999996, 1.04074672E8, 500.0, 629.326, 0.0, 2865.3638,0.0, -155341.39
0.08, 1.08918728E8, 500.0, 641.3045, 0.0, 1912.4791,0.0, -181565.1
0.085, 1.12057264E8, 500.0, 648.3573, 0.0, 903.6119,0.0, -197899.05
0.09, 1.13028816E8, 500.0, 650.3332, 0.0, -109.8031,0.0, -203933.7
0.095000006, 1.11474064E8, 500.0, 647.33484, 0.0, -1078.1246,0.0, -199778.16
0.10000001, 1.07207216E8, 500.0, 639.7036, 0.0, -1955.8596,0.0, -186034.88
0.10500001, 1.0026544E8, 500.0, 627.9936, 0.0, -2703.7195,0.0, -163750.55
0.110000014, 9.092708E7, 500.0, 612.93634, 0.0, -3290.2954,0.0, -134347.62
0.11500002, 7.9694336E7, 500.0, 595.398, 0.0, -3693.282,0.0, -99540.516
0.12000002, 6.7243984E7, 500.0, 576.33167, 0.0, -3900.2092,0.0, -61239.96
0.12500001, 5.4353632E7, 500.0, 556.72797, 0.0, -3908.6636,0.0, -21451.855
0.13000001, 4.1817212E7, 500.0, 537.5648, 0.0, -3726.0146,0.0, 17823.178
0.135, 3.0361018E7, 500.0, 519.7601, 0.0, -3368.6702,0.0, 54688.28
0.14, 2.057459E7, 500.0, 504.12967, 0.0, -2860.92,0.0, 87439.016
