t, E, sx, sy, vx, vy, ax, ay, ts
4.0E-4, 1.99983664E8, 500.0, 300.06006, 0.0, 299.9639,0.0, 749840.9, 1.0E-4
8.0E-4, 1.998936E8, 500.0, 300.24005, 0.0, 599.68774,0.0, 749090.75, 1.0E-4
0.0011999998, 1.99743728E8, 500.0, 300.53976, 0.0, 898.9318,0.0, 747741.75, 1.0E-4
0.0015999996, 1.99533936E8, 500.0, 300.9591, 0.0, 1197.4569,0.0, 745794.25, 1.0E-4
0.0019999994, 1.99264704E8, 500.0, 301.49762, 0.0, 1495.0237,0.0, 743250.5, 1.0E-4
0.0023999996, 1.98936048E8, 500.0, 302.15494, 0.0, 1791.3948,0.0, 740112.2, 1.0E-4
0.0028, 1.98548304E8, 500.0, 302.93054, 0.0, 2086.333,0.0, 736381.9, 1.0E-4
0.0032000002, 1.98101616E8, 500.0, 303.82382, 0.0, 2379.6018,0.0, 732062.25, 1.0E-4
0.0036000004, 1.97596624E8, 500.0, 304.83398, 0.0, 2670.9675,0.0, 727157.3, 1.0E-4
0.0040000007, 1.97033456E8, 500.0, 305.96027, 0.0, 2960.1963,0.0, 721670.56, 1.0E-4
0.0044, 1.9641272E8, 500.0, 307.20178, 0.0, 3247.057,0.0, 715606.56, 1.0E-4
0.0047999993, 1.95734944E8, 500.0, 308.55753, 0.0, 3531.3203,0.0, 708970.25, 1.0E-4
0.0051999986, 1.95000272E8, 500.0, 310.0265, 0.0, 3812.7593,0.0, 701766.1, 1.0E-4
0.005599998, 1.94209904E8, 500.0, 311.60736, 0.0, 4091.1475,0.0, 694001.2, 1.0E-4
0.0059999973, 1.93364112E8, 500.0, 313.29898, 0.0, 4366.2637,0.0, 685681.06, 1.0E-4
0.0063999966, 1.92463584E8, 500.0, 315.09995, 0.0, 4637.887,0.0, 676812.2, 1.0E-4
0.006799996, 1.91509136E8, 500.0, 317.00882, 0.0, 4905.801,0.0, 667401.94, 1.0E-4
0.007199995, 1.90501504E8, 500.0, 319.02408, 0.0, 5169.7896,0.0, 657457.94, 1.0E-4
0.0075999945, 1.8944144E8, 500.0, 321.1441, 0.0, 5429.6436,0.0, 646987.8, 1.0E-4
0.007999994, 1.88329984E8, 500.0, 323.3672, 0.0, 5685.154,0.0, 636000.56, 1.0E-4
0.008399993, 1.87167792E8, 500.0, 325.69162, 0.0, 5936.1157,0.0, 624504.3, 1.0E-4
0.0087999925, 1.85955856E8, 500.0, 328.11542, 0.0, 6182.329,0.0, 612508.44, 1.0E-4
0.009199992, 1.84695232E8, 500.0, 330.63678, 0.0, 6423.597,0.0, 600022.8, 1.0E-4
0.009599991, 1.83386736E8, 500.0, 333.25363, 0.0, 6659.7266,0.0, 587056.75, 1.0E-4
0.00999999, 1.82031808E8, 500.0, 335.96378, 0.0, 6890.5293,0.0, 573621.9, 1.0E-4
0.01039999, 1.80631136E8, 500.0, 338.7652, 0.0, 7115.818,0.0, 559727.8, 1.0E-4
0.010799989, 1.79185888E8, 500.0, 341.65564, 0.0, 7335.415,0.0, 545385.8, 1.0E-4
0.011199988, 1.7769728E8, 500.0, 344.6328, 0.0, 7549.144,0.0, 530607.2, 1.0E-4
0.011599988, 1.76166592E8, 500.0, 347.69418, 0.0, 7756.835,0.0, 515404.4, 1.0E-4
0.011999987, 1.74595008E8, 500.0, 350.8374, 0.0, 7958.3213,0.0, 499789.47, 1.0E-4
0.012399986, 1.72983744E8, 500.0, 354.06, 0.0, 8153.4414,0.0, 483774.62, 1.0E-4
0.012799986, 1.71334016E8, 500.0, 357.35928, 0.0, 8342.038,0.0, 467372.62, 1.0E-4
0.013199985, 1.69647328E8, 500.0, 360.73273, 0.0, 8523.963,0.0, 450596.97, 1.0E-4
0.013599984, 1.67924944E8, 500.0, 364.17755, 0.0, 8699.068,0.0, 433460.75, 1.0E-4
0.013999984, 1.66168256E8, 500.0, 367.691, 0.0, 8867.213,0.0, 415978.12, 1.0E-4
