t, E, sx, sy, vx, vy, ax, ay, ts
0.001, 2.00576224E8, 500.0, 300.75, 0.0, 750.0098,0.0, 750009.8, 0.001
0.002, 2.00755312E8, 500.0, 302.24628, 0.0, 1496.2697,0.0, 746259.8, 0.001
0.003, 2.00541744E8, 500.0, 304.48132, 0.0, 2235.048,0.0, 738778.44, 0.001
0.004, 1.99928656E8, 500.0, 307.44397, 0.0, 2962.6514,0.0, 727603.2, 0.001
0.0050000004, 1.98911488E8, 500.0, 311.11942, 0.0, 3675.4414,0.0, 712789.94, 0.001
0.0060000005, 1.97488416E8, 500.0, 315.48926, 0.0, 4369.854,0.0, 694412.75, 0.001
0.0070000007, 1.95660368E8, 500.0, 320.53168, 0.0, 5042.4175,0.0, 672563.5, 0.001
0.008, 1.93431072E8, 500.0, 326.22144, 0.0, 5689.769,0.0, 647351.44, 0.001
0.009000001, 1.9080736E8, 500.0, 332.53012, 0.0, 6308.672,0.0, 618902.6, 0.001
0.010000001, 1.87798992E8, 500.0, 339.42615, 0.0, 6896.0312,0.0, 587359.2, 0.001
0.011000001, 1.8441888E8, 500.0, 346.87506, 0.0, 7448.91,0.0, 552879.06, 0.001
0.012000001, 1.80682848E8, 500.0, 354.8396, 0.0, 7964.545,0.0, 515634.5, 0.001
0.013000001, 1.76609792E8, 500.0, 363.27997, 0.0, 8440.356,0.0, 475811.8, 0.001
0.014000001, 1.72221424E8, 500.0, 372.15393, 0.0, 8873.967,0.0, 433609.97, 0.001
0.0150000015, 1.67542224E8, 500.0, 381.41714, 0.0, 9263.207,0.0, 389240.16, 0.001
0.016, 1.62599152E8, 500.0, 391.0233, 0.0, 9606.131,0.0, 342924.1, 0.001
0.017, 1.57421664E8, 500.0, 400.92432, 0.0, 9901.024,0.0, 294893.38, 0.001
0.018000001, 1.520412E8, 500.0, 411.07074, 0.0, 10146.413,0.0, 245388.22, 0.001
0.019000001, 1.4649112E8, 500.0, 421.4118, 0.0, 10341.069,0.0, 194656.1, 0.001
0.020000001, 1.40806352E8, 500.0, 431.8958, 0.0, 10484.0205,0.0, 142950.78, 0.001
0.021000002, 1.3502296E8, 500.0, 442.47037, 0.0, 10574.551,0.0, 90530.74, 0.001
0.022000002, 1.29177992E8, 500.0, 453.08258, 0.0, 10612.209,0.0, 37657.965, 0.001
0.023000002, 1.23309024E8, 500.0, 463.67938, 0.0, 10596.806,0.0, -15403.102, 0.001
0.024000002, 1.17453848E8, 500.0, 474.2078, 0.0, 10528.419,0.0, -68387.11, 0.001
0.025000002, 1.11650056E8, 500.0, 484.61517, 0.0, 10407.39,0.0, -121029.164, 0.001
0.026000002, 1.05934744E8, 500.0, 494.8495, 0.0, 10234.323,0.0, -173066.06, 0.001
0.027000003, 1.00344168E8, 500.0, 504.85956, 0.0, 10010.086,0.0, -224237.64, 0.001
0.028000003, 1.04899144E8, 500.0, 515.09534, 0.0, 10235.798,0.0, 225712.0, 0.001
0.029000003, 1.0952364E8, 500.0, 525.5057, 0.0, 10410.331,0.0, 174533.11, 0.001
0.030000003, 1.14201928E8, 500.0, 536.0385, 0.0, 10532.8125,0.0, 122481.42, 0.001
0.031000003, 1.1891852E8, 500.0, 546.6411, 0.0, 10602.63,0.0, 69817.24, 0.001
0.032, 1.2365804E8, 500.0, 557.26056, 0.0, 10619.435,0.0, 16804.234, 0.001
0.033, 1.28405216E8, 500.0, 567.8437, 0.0, 10583.142,0.0, -36292.996, 0.001
0.033999998, 1.3314472E8, 500.0, 578.33765, 0.0, 10493.933,0.0, -89208.64, 0.001
0.034999996, 1.37861152E8, 500.0, 588.6899, 0.0, 10352.254,0.0, -141678.44, 0.001
0.035999995, 1.42538848E8, 500.0, 598.8487, 0.0, 10158.814,0.0, -193439.61, 0.001
0.036999993, 1.4716192E8, 500.0, 608.7633, 0.0, 9914.581,0.0, -244233.67, 0.001
0.03799999, 1.51714064E8, 500.0, 618.3841, 0.0, 9620.774,0.0, -293806.72, 0.001
0.03899999, 1.5617856E8, 500.0, 627.66296, 0.0, 9278.863,0.0, -341910.66, 0.001
0.039999988, 1.6053832E8, 500.0, 636.5535, 0.0, 8890.559,0.0, -388305.0, 0.001
