t, E, sx, sy, vx, vy, ax, ay, ts
0.001, 2.00576224E8, 500.0, 300.375, 0.0, 750.0098,0.0, 750009.8, 0.001
0.002, 2.00008848E8, 500.0, 301.49908, 0.0, 1496.2697,0.0, 748134.8, 0.001
0.003, 1.99063216E8, 500.0, 303.3666, 0.0, 2235.0435,0.0, 742514.4, 0.001
0.004, 1.977444E8, 500.0, 305.96823, 0.0, 2962.6326,0.0, 733176.75, 0.001
0.0050000004, 1.9605912E8, 500.0, 309.29095, 0.0, 3675.3945,0.0, 720168.7, 0.001
0.0060000005, 1.94016224E8, 500.0, 313.3181, 0.0, 4369.761,0.0, 703555.06, 0.001
0.0070000007, 1.91626288E8, 500.0, 318.02957, 0.0, 5042.2563,0.0, 683419.25, 0.001
0.008, 1.88901696E8, 500.0, 323.40176, 0.0, 5689.5127,0.0, 659861.94, 0.001
0.009000001, 1.85856624E8, 500.0, 329.40778, 0.0, 6308.29,0.0, 633001.0, 0.001
0.010000001, 1.82506848E8, 500.0, 336.01755, 0.0, 6895.49,0.0, 602970.94, 0.001
0.011000001, 1.7886976E8, 500.0, 343.198, 0.0, 7448.174,0.0, 569922.06, 0.001
0.012000001, 1.74964048E8, 500.0, 350.91318, 0.0, 7963.573,0.0, 534019.8, 0.001
0.013000001, 1.70809984E8, 500.0, 359.12448, 0.0, 8439.108,0.0, 495443.94, 0.001
0.014000001, 1.66428848E8, 500.0, 367.79077, 0.0, 8872.398,0.0, 454387.4, 0.001
0.0150000015, 1.61843264E8, 500.0, 376.8687, 0.0, 9261.273,0.0, 411055.97, 0.001
0.016, 1.57076656E8, 500.0, 386.3128, 0.0, 9603.786,0.0, 365666.25, 0.001
0.017, 1.52153424E8, 500.0, 396.0758, 0.0, 9898.223,0.0, 318445.78, 0.001
0.018000001, 1.47098688E8, 500.0, 406.10886, 0.0, 10143.107,0.0, 269630.78, 0.001
0.019000001, 1.41938128E8, 500.0, 416.3617, 0.0, 10337.215,0.0, 219465.52, 0.001
0.020000001, 1.36697936E8, 500.0, 426.78302, 0.0, 10479.573,0.0, 168201.33, 0.001
0.021000002, 1.31404608E8, 500.0, 437.32065, 0.0, 10569.469,0.0, 116094.7, 0.001
0.022000002, 1.26084856E8, 500.0, 447.9218, 0.0, 10606.452,0.0, 63406.56, 0.001
0.023000002, 1.20765376E8, 500.0, 458.53348, 0.0, 10590.337,0.0, 10400.73, 0.001
0.024000002, 1.15472816E8, 500.0, 469.10248, 0.0, 10521.203,0.0, -42657.59, 0.001
0.025000002, 1.10233632E8, 500.0, 479.57593, 0.0, 10399.397,0.0, -95502.586, 0.001
0.026000002, 1.0507392E8, 500.0, 489.9014, 0.0, 10225.529,0.0, -147869.84, 0.001
0.027000003, 1.05081992E8, 500.0, 500.0272, 0.0, 10250.469,0.0, -199497.19, 0.001
0.028000003, 1.1025744E8, 500.0, 510.4026, 0.0, 10474.717,0.0, 249873.84, 0.001
0.029000003, 1.15537224E8, 500.0, 520.9763, 0.0, 10646.526,0.0, 197996.86, 0.001
0.030000003, 1.20895248E8, 500.0, 531.69543, 0.0, 10765.038,0.0, 145128.2, 0.001
0.031000003, 1.26304912E8, 500.0, 542.5062, 0.0, 10829.658,0.0, 91532.63, 0.001
0.032, 1.3173928E8, 500.0, 553.3546, 0.0, 10840.0625,0.0, 37478.67, 0.001
0.033, 1.37171264E8, 500.0, 564.1863, 0.0, 10796.199,0.0, -16763.27, 0.001
0.033999998, 1.42573536E8, 500.0, 574.947, 0.0, 10698.287,0.0, -70921.59, 0.001
0.034999996, 1.47919072E8, 500.0, 585.58295, 0.0, 10546.816,0.0, -124725.305, 0.001
0.035999995, 1.531808E8, 500.0, 596.04083, 0.0, 10342.545,0.0, -177904.94, 0.001
0.036999993, 1.58332192E8, 500.0, 606.2683, 0.0, 10086.494,0.0, -230194.36, 0.001
0.03799999, 1.63347072E8, 500.0, 616.2141, 0.0, 9779.946,0.0, -281331.75, 0.001
0.03899999, 1.68199856E8, 500.0, 625.82855, 0.0, 9424.436,0.0, -331060.75, 0.001
0.039999988, 1.72865824E8, 500.0, 635.0634, 0.0, 9021.741,0.0, -379132.94, 0.001
0.040999986, 1.77321056E8, 500.0, 643.8725, 0.0, 8573.88,0.0, -425307.25, 0.001
0.041999985, 1.81542656E8, 500.0, 652.21173, 0.0, 8083.093,0.0, -469352.7, 0.001
0.042999983, 1.85509008E8, 500.0, 660.0393, 0.0, 7551.8364,0.0, -511048.84, 0.001
0.04399998, 1.8919952E8, 500.0, 667.31604, 0.0, 6982.77,0.0, -550186.75, 0.001
0.04499998, 1.92595168E8, 500.0, 674.00555, 0.0, 6378.7427,0.0, -586570.4, 0.001
0.045999978, 1.95678224E8, 500.0, 680.0743, 0.0, 5742.778,0.0, -620017.94, 0.001
0.046999976, 1.98432784E8, 500.0, 685.4919, 0.0, 5078.059,0.0, -650361.56, 0.001
0.047999974, 2.00844384E8, 500.0, 690.2312, 0.0, 4387.914,0.0, -677449.6, 0.001
0.048999973, 2.02900528E8, 500.0, 694.26855, 0.0, 3675.798,0.0, -701146.2, 0.001
0.04999997, 2.04590384E8, 500.0, 697.5837, 0.0, 2945.2756,0.0, -721332.94, 0.001
0.05099997, 2.05905152E8, 500.0, 700.16, 0.0, 2200.004,0.0, -737908.56, 0.001
0.051999968, 2.06837952E8, 500.0, 701.98456, 0.0, 1443.7137,0.0, -750790.06, 0.001
