t, E, sx, sy, vx, vy, ax, ay, ts
0.001, 2.00576224E8, 500.0, 300.375, 0.0, 750.0098,0.0, 750009.8, 0.001
0.002, 2.00755328E8, 500.0, 301.49908, 0.0, 1496.2697,0.0, 748134.8, 0.001
0.003, 2.00539872E8, 500.0, 303.3666, 0.0, 2235.0435,0.0, 742514.4, 0.001
0.004, 1.99923088E8, 500.0, 305.96823, 0.0, 2962.6328,0.0, 733176.75, 0.001
0.0050000004, 1.98900448E8, 500.0, 309.29095, 0.0, 3675.395,0.0, 720168.7, 0.001
0.0060000005, 1.97470192E8, 500.0, 313.3181, 0.0, 4369.7617,0.0, 703555.06, 0.001
0.0070000007, 1.95633456E8, 500.0, 318.0296, 0.0, 5042.257,0.0, 683419.25, 0.001
0.008, 1.93394048E8, 500.0, 323.4018, 0.0, 5689.513,0.0, 659861.8, 0.001
0.009000001, 1.90758976E8, 500.0, 329.4078, 0.0, 6308.29,0.0, 633000.8, 0.001
0.010000001, 1.87738304E8, 500.0, 336.01758, 0.0, 6895.49,0.0, 602970.75, 0.001
0.011000001, 1.84345056E8, 500.0, 343.19803, 0.0, 7448.1733,0.0, 569921.94, 0.001
0.012000001, 1.80595408E8, 500.0, 350.9132, 0.0, 7963.5728,0.0, 534019.7, 0.001
0.013000001, 1.76508416E8, 500.0, 359.1245, 0.0, 8439.107,0.0, 495443.78, 0.001
0.014000001, 1.72106048E8, 500.0, 367.7908, 0.0, 8872.396,0.0, 454387.25, 0.001
0.0150000015, 1.67413088E8, 500.0, 376.8687, 0.0, 9261.271,0.0, 411055.8, 0.001
0.016, 1.62456704E8, 500.0, 386.3128, 0.0, 9603.784,0.0, 365666.25, 0.001
0.017, 1.57266672E8, 500.0, 396.0758, 0.0, 9898.221,0.0, 318445.78, 0.001
0.018000001, 1.51874592E8, 500.0, 406.10886, 0.0, 10143.106,0.0, 269630.78, 0.001
0.019000001, 1.46314016E8, 500.0, 416.3617, 0.0, 10337.214,0.0, 219465.52, 0.001
0.020000001, 1.40620144E8, 500.0, 426.78302, 0.0, 10479.572,0.0, 168201.33, 0.001
0.021000002, 1.34829184E8, 500.0, 437.32065, 0.0, 10569.468,0.0, 116094.7, 0.001
0.022000002, 1.28978344E8, 500.0, 447.9218, 0.0, 10606.451,0.0, 63406.56, 0.001
0.023000002, 1.2310532E8, 500.0, 458.53348, 0.0, 10590.336,0.0, 10400.73, 0.001
0.024000002, 1.17247936E8, 500.0, 469.10248, 0.0, 10521.202,0.0, -42657.59, 0.001
0.025000002, 1.11443912E8, 500.0, 479.57593, 0.0, 10399.396,0.0, -95502.586, 0.001
0.026000002, 1.05730336E8, 500.0, 489.9014, 0.0, 10225.528,0.0, -147869.84, 0.001
0.027000003, 1.00143448E8, 500.0, 500.0272, 0.0, 10000.468,0.0, -199497.19, 0.001
0.028000003, 1.04693568E8, 500.0, 510.1526, 0.0, 10225.341,0.0, 249873.84, 0.001
0.029000003, 1.09314256E8, 500.0, 520.47754, 0.0, 10399.024,0.0, 199246.86, 0.001
0.030000003, 1.13989792E8, 500.0, 530.9504, 0.0, 10520.648,0.0, 147622.11, 0.001
0.031000003, 1.18704776E8, 500.0, 541.5187, 0.0, 10589.6045,0.0, 95257.914, 0.001
0.032, 1.23443912E8, 500.0, 552.1295, 0.0, 10605.547,0.0, 42416.418, 0.001
0.033, 1.28191904E8, 500.0, 562.72974, 0.0, 10568.3955,0.0, -10637.782, 0.001
0.033999998, 1.3293336E8, 500.0, 573.2663, 0.0, 10478.336,0.0, -63638.88, 0.001
0.034999996, 1.37652864E8, 500.0, 583.68646, 0.0, 10335.818,0.0, -116321.68, 0.001
0.035999995, 1.42334624E8, 500.0, 593.93805, 0.0, 10141.557,0.0, -168422.52, 0.001
0.036999993, 1.46962688E8, 500.0, 603.9698, 0.0, 9896.522,0.0, -219680.45, 0.001
0.03799999, 1.51520544E8, 500.0, 613.7314, 0.0, 9601.942,0.0, -269839.12, 0.001
0.03899999, 1.55991424E8, 500.0, 623.174, 0.0, 9259.29,0.0, -318647.1, 0.001
0.039999988, 1.60357952E8, 500.0, 632.25037, 0.0, 8870.281,0.0, -365860.25, 0.001
0.040999986, 1.64602304E8, 500.0, 640.91504, 0.0, 8436.863,0.0, -411242.03, 0.001
0.041999985, 1.68706304E8, 500.0, 649.12463, 0.0, 7961.2056,0.0, -454565.38, 0.001
0.042999983, 1.72651072E8, 500.0, 656.838, 0.0, 7445.6895,0.0, -495613.34, 0.001
0.04399998, 1.7641752E8, 500.0, 664.0166, 0.0, 6892.895,0.0, -534180.25, 0.001
0.04499998, 1.7998632E8, 500.0, 670.62445, 0.0, 6305.5894,0.0, -570073.2, 0.001
0.045999978, 1.83337664E8, 500.0, 676.6285, 0.0, 5686.713,0.0, -603112.44, 0.001
0.046999976, 1.8645216E8, 500.0, 681.9986, 0.0, 5039.3633,0.0, -633132.56, 0.001
0.047999974, 1.89309856E8, 500.0, 686.70795, 0.0, 4366.7817,0.0, -659983.2, 0.001
0.048999973, 1.9189184E8, 500.0, 690.733, 0.0, 3672.3347,0.0, -683529.94, 0.001
0.04999997, 1.94179024E8, 500.0, 694.05347, 0.0, 2959.4988,0.0, -703655.06, 0.001
0.05099997, 1.96153248E8, 500.0, 696.65283, 0.0, 2231.8425,0.0, -720257.5, 0.001
0.051999968, 1.9779736E8, 500.0, 698.51807, 0.0, 1493.0085,0.0, -733254.4, 0.001
0.052999966, 1.99095312E8, 500.0, 699.6398, 0.0, 746.6954,0.0, -742580.5, 0.001
0.053999964, 2.00032144E8, 500.0, 700.0124, 0.0, -3.3604736,0.0, -748189.06, 0.001
0.054999962, 2.00594864E8, 500.0, 699.63403, 0.0, -753.40405,0.0, -750052.1, 0.001
0.05599996, 2.00772368E8, 500.0, 698.50653, 0.0, -1499.6809,0.0, -748160.4, 0.001
0.05699996, 2.00555216E8, 500.0, 696.63556, 0.0, -2238.4546,0.0, -742522.8, 0.001
0.057999957, 1.99936528E8, 500.0, 694.0305, 0.0, -2966.0266,0.0, -733168.0, 0.001
0.058999956, 1.98911968E8, 500.0, 690.7044, 0.0, -3678.7544,0.0, -720142.75, 0.001
0.059999954, 1.9747992E8, 500.0, 686.6739, 0.0, -4373.07,0.0, -703512.25, 0.001
0.060999952, 1.95641232E8, 500.0, 681.95917, 0.0, -5045.497,0.0, -683359.6, 0.001
0.06199995, 1.93399936E8, 500.0, 676.5838, 0.0, -5692.6694,0.0, -659786.0, 0.001
0.06299995, 1.90763136E8, 500.0, 670.5747, 0.0, -6311.347,0.0, -632909.2, 0.001
0.06399995, 1.87740576E8, 500.0, 663.9619, 0.0, -6898.4326,0.0, -602863.75, 0.001
0.06499995, 1.84345552E8, 500.0, 656.77856, 0.0, -7450.9863,0.0, -569799.75, 0.001
0.065999955, 1.80594144E8, 500.0, 649.0606, 0.0, -7966.242,0.0, -533883.0, 0.001
0.06699996, 1.76505408E8, 500.0, 640.84674, 0.0, -8441.62,0.0, -495293.22, 0.001
0.06799996, 1.72101424E8, 500.0, 632.178, 0.0, -8874.74,0.0, -454223.9, 0.001
0.06899996, 1.67406896E8, 500.0, 623.0978, 0.0, -9263.434,0.0, -410880.1, 0.001
0.06999996, 1.6244912E8, 500.0, 613.6516, 0.0, -9605.754,0.0, -365479.1, 0.001
0.070999965, 1.57257792E8, 500.0, 603.8867, 0.0, -9899.988,0.0, -318248.25, 0.001
0.07199997, 1.5186448E8, 500.0, 593.852, 0.0, -10144.662,0.0, -269423.78, 0.001
0.07299997, 1.46302944E8, 500.0, 583.5977, 0.0, -10338.551,0.0, -219250.16, 0.001
0.07399997, 1.40608224E8, 500.0, 573.1752, 0.0, -10480.684,0.0, -167978.8, 0.001
0.07499997, 1.34816512E8, 500.0, 562.63654, 0.0, -10570.348,0.0, -115866.05, 0.001
0.075999975, 1.28965144E8, 500.0, 552.0346, 0.0, -10607.095,0.0, -63172.88, 0.001
0.07699998, 1.23091736E8, 500.0, 541.4224, 0.0, -10590.74,0.0, -10163.234, 0.001
0.07799998, 1.17234168E8, 500.0, 530.85315, 0.0, -10521.366,0.0, 42897.68, 0.001
0.07899998, 1.11430096E8, 500.0, 520.37964, 0.0, -10399.318,0.0, 95744.055, 0.001
0.07999998, 1.05716656E8, 500.0, 510.05438, 0.0, -10225.209,0.0, 148111.61, 0.001
0.080999985, 1.00130072E8, 500.0, 499.92905, 0.0, -9999.908,0.0, 199737.89, 0.001
0.08199999, 1.04679864E8, 500.0, 489.80432, 0.0, -10224.544,0.0, -249635.44, 0.001
0.08299999, 1.09300144E8, 500.0, 479.4803, 0.0, -10397.994,0.0, -199011.81, 0.001
0.08399999, 1.13975248E8, 500.0, 469.0086, 0.0, -10519.391,0.0, -147391.62, 0.001
0.08499999, 1.1868972E8, 500.0, 458.4417, 0.0, -10588.125,0.0, -95033.23, 0.001
0.085999995, 1.23428256E8, 500.0, 447.8325, 0.0, -10603.854,0.0, -42198.758, 0.001
0.087, 1.2817556E8, 500.0, 437.23407, 0.0, -10566.496,0.0, 10847.355, 0.001
0.088, 1.32916288E8, 500.0, 426.6995, 0.0, -10476.24,0.0, 63839.453, 0.001
