t, E, sx, sy, vx, vy, ax, ay, ts
0.001, 1.99826E8, 500.0, 300.37485, 0.0, 749.3848,0.0, 750009.8, 0.001
0.002, 1.99265248E8, 500.0, 301.49753, 0.0, 1495.0242,0.0, 748135.56, 0.001
0.003, 1.9833344E8, 500.0, 303.36243, 0.0, 2233.1917,0.0, 742522.2, 0.001
0.004, 1.97035136E8, 500.0, 305.9602, 0.0, 2960.1978,0.0, 733197.7, 0.001
0.0050000004, 1.95376832E8, 500.0, 309.27792, 0.0, 3672.4092,0.0, 720208.8, 0.001
0.0060000005, 1.93366768E8, 500.0, 313.29892, 0.0, 4366.266,0.0, 703620.2, 0.001
0.0070000007, 1.9101512E8, 500.0, 318.00317, 0.0, 5038.301,0.0, 683515.2, 0.001
0.008, 1.88333552E8, 500.0, 323.36713, 0.0, 5685.1543,0.0, 659993.94, 0.001
0.009000001, 1.85335488E8, 500.0, 329.364, 0.0, 6303.5938,0.0, 633174.2, 0.001
0.010000001, 1.82035824E8, 500.0, 335.9638, 0.0, 6890.5283,0.0, 603189.75, 0.001
0.011000001, 1.78451168E8, 500.0, 343.13358, 0.0, 7443.0244,0.0, 570190.8, 0.001
0.012000001, 1.74599392E8, 500.0, 350.83746, 0.0, 7958.322,0.0, 534341.94, 0.001
0.013000001, 1.70499712E8, 500.0, 359.03696, 0.0, 8433.844,0.0, 495822.5, 0.001
0.014000001, 1.66172608E8, 500.0, 367.6911, 0.0, 8867.214,0.0, 454825.03, 0.001
0.0150000015, 1.61639792E8, 500.0, 376.75662, 0.0, 9256.268,0.0, 411554.3, 0.001
0.016, 1.56923856E8, 500.0, 386.18823, 0.0, 9599.059,0.0, 366226.7, 0.001
0.017, 1.52048368E8, 500.0, 395.93878, 0.0, 9893.873,0.0, 319068.66, 0.001
0.018000001, 1.47037728E8, 500.0, 405.95953, 0.0, 10139.239,0.0, 270315.9, 0.001
0.019000001, 1.4191696E8, 500.0, 416.20038, 0.0, 10333.932,0.0, 220212.12, 0.001
0.020000001, 1.36711728E8, 500.0, 426.61017, 0.0, 10476.976,0.0, 169007.9, 0.001
0.021000002, 1.31447984E8, 500.0, 437.13684, 0.0, 10567.656,0.0, 116958.96, 0.001
0.022000002, 1.26152064E8, 500.0, 447.7278, 0.0, 10605.52,0.0, 64325.598, 0.001
0.023000002, 1.20850424E8, 500.0, 458.3302, 0.0, 10590.378,0.0, 11370.732, 0.001
0.024000002, 1.15569568E8, 500.0, 468.89096, 0.0, 10522.306,0.0, -41641.2, 0.001
0.025000002, 1.10335928E8, 500.0, 479.3573, 0.0, 10401.645,0.0, -94445.0, 0.001
0.026000002, 1.05175664E8, 500.0, 489.6769, 0.0, 10228.997,0.0, -146776.7, 0.001
0.027000003, 1.0011456E8, 500.0, 499.79825, 0.0, 10005.226,0.0, -198374.75, 0.001
0.028000003, 1.03481288E8, 500.0, 509.83737, 0.0, 10147.906,0.0, -248981.44, 0.001
0.029000003, 1.08592536E8, 500.0, 520.07715, 0.0, 10323.202,0.0, 200822.94, 0.001
0.030000003, 1.13786784E8, 500.0, 530.46655, 0.0, 10446.905,0.0, 149624.05, 0.001
0.031000003, 1.19029816E8, 500.0, 540.95355, 0.0, 10518.395,0.0, 97677.04, 0.001
0.032, 1.2429548E8, 500.0, 551.4858, 0.0, 10537.314,0.0, 45242.04, 0.001
0.033, 1.29557408E8, 500.0, 562.0107, 0.0, 10503.569,0.0, -7419.0933, 0.001
0.033999998, 1.34789392E8, 500.0, 572.4755, 0.0, 10417.328,0.0, -60043.605, 0.001
0.034999996, 1.3996528E8, 500.0, 582.82806, 0.0, 10279.022,0.0, -112367.82, 0.001
0.035999995, 1.45059072E8, 500.0, 593.01654, 0.0, 10089.341,0.0, -164130.52, 0.001
0.036999993, 1.50045488E8, 500.0, 602.99, 0.0, 9849.234,0.0, -215072.9, 0.001
0.03799999, 1.54899504E8, 500.0, 612.69855, 0.0, 9559.901,0.0, -264940.12, 0.001
0.03899999, 1.59596832E8, 500.0, 622.0939, 0.0, 9222.79,0.0, -313482.94, 0.001
0.039999988, 1.64114144E8, 500.0, 631.1287, 0.0, 8839.584,0.0, -360459.56, 0.001
0.040999986, 1.68428704E8, 500.0, 639.7582, 0.0, 8412.199,0.0, -405633.8, 0.001
0.041999985, 1.7251904E8, 500.0, 647.9391, 0.0, 7942.77,0.0, -448781.1, 0.001
0.042999983, 1.76364736E8, 500.0, 655.6305, 0.0, 7433.6436,0.0, -489685.62, 0.001
0.04399998, 1.79946576E8, 500.0, 662.794, 0.0, 6887.3647,0.0, -528142.6, 0.001
