t, E, n
0.01, 195.09633, 2
0.02, 388.1424, 4
0.03, 579.6609, 6
0.04, 768.3029, 8
0.049999997, 955.0435, 10
0.059999995, 1140.7227, 12
0.06999999, 1324.9783, 14
0.07999999, 1507.6061, 16
0.08999999, 1688.1683, 18
0.09999999, 1867.3118, 20
0.109999985, 2043.6432, 22
0.11999998, 2217.8396, 24
0.12999998, 2390.0955, 26
0.13999999, 2561.149, 28
0.14999999, 2731.0974, 30
0.16, 2898.914, 32
0.17, 3065.833, 34
0.18, 3231.2844, 36
0.19000001, 3395.2402, 38
0.20000002, 3558.6035, 40
0.21000002, 3720.8826, 42
0.22000003, 3881.712, 44
0.23000003, 4040.8354, 46
0.24000004, 4198.9194, 48
0.25000003, 4355.355, 50
0.26000002, 4510.5044, 52
0.27, 4664.8516, 54
0.28, 4818.2764, 56
0.29, 4969.359, 58
0.29999998, 5119.401, 60
0.30999997, 5267.843, 62
0.31999996, 5414.996, 64
0.32999995, 5560.7554, 66
0.33999994, 5705.1567, 68
0.34999993, 5849.2246, 70
0.35999992, 5992.3013, 72
0.36999992, 6134.905, 74
0.3799999, 6275.936, 76
0.3899999, 6415.6704, 78
0.3999999, 6553.846, 80
0.40999988, 6691.912, 82
0.41999987, 6829.7896, 84
0.42999986, 6966.2646, 86
0.43999985, 7101.8047, 88
0.44999984, 7236.145, 90
0.45999983, 7369.435, 92
0.46999982, 7501.1084, 94
0.4799998, 7631.565, 96
0.4899998, 7760.4507, 98
0.4999998, 7888.7534, 100
0.5099998, 8015.9663, 102
0.5199998, 8142.1045, 104
0.5299998, 8268.005, 106
0.5399998, 8393.258, 108
0.5499998, 8517.573, 110
0.55999976, 8641.465, 112
0.56999975, 8764.582, 114
0.57999974, 8886.725, 116
0.58999974, 9007.967, 118
0.5999997, 9128.62, 120
0.6099997, 9248.792, 122
0.6199997, 9367.651, 124
0.6299997, 9486.035, 126
0.6399997, 9603.897, 128
0.6499997, 9721.454, 130
0.65999967, 9838.679, 132
0.66999966, 9955.715, 134
0.67999965, 10072.208, 136
0.68999964, 10188.792, 138
0.69999963, 10304.085, 140
0.7099996, 10419.385, 142
0.7199996, 10534.813, 144
0.7299996, 10649.783, 146
0.7399996, 10764.899, 148
0.7499996, 10879.677, 150
0.7599996, 10994.734, 152
0.76999956, 11108.952, 154
0.77999955, 11223.529, 156
0.78999954, 11337.181, 158
0.79999954, 11450.935, 160
0.8099995, 11564.131, 162
0.8199995, 11676.8545, 164
0.8299995, 11788.987, 166
0.8399995, 11900.98, 168
0.8499995, 12012.811, 170
0.8599995, 12124.308, 172
0.86999947, 12236.154, 174
0.87999946, 12347.732, 176
0.88999945, 12458.757, 178
0.89999944, 12569.779, 180
0.90999943, 12679.945, 182
0.9199994, 12790.453, 184
0.9299994, 12901.289, 186
0.9399994, 13011.784, 188
0.9499994, 13122.58, 190
0.9599994, 13233.838, 192
0.9699994, 13344.802, 194
0.97999936, 13456.514, 196
0.98999935, 13567.978, 198
0.99999934, 13678.98, 200
1.0099994, 13790.129, 202
1.0199994, 13902.251, 204
1.0299994, 14015.151, 206
1.0399994, 14127.923, 208
1.0499994, 14240.986, 210
1.0599993, 14354.16, 212
1.0699993, 14467.289, 214
1.0799993, 14579.818, 216
1.0899993, 14693.117, 218
1.0999993, 14806.887, 220
1.1099993, 14921.3955, 222
1.1199993, 15036.272, 224
1.1299993, 15151.494, 226
1.1399993, 15267.398, 228
1.1499993, 15384.642, 230
1.1599993, 15502.572, 232
1.1699992, 15621.776, 234
1.1799992, 15742.177, 236
1.1899992, 15863.4795, 238
1.1999992, 15984.915, 240
1.2099992, 16106.921, 242
1.2199992, 16229.368, 244
1.2299992, 16351.822, 246
1.2399992, 16475.018, 248
1.2499992, 16598.918, 250
1.2599992, 16724.463, 252
1.2699991, 16850.654, 254
1.2799991, 16977.844, 256
1.2899991, 17106.502, 258
1.2999991, 17235.916, 260
1.3099991, 17366.896, 262
1.3199991, 17497.52, 264
1.3299991, 17628.117, 266
1.3399991, 17759.873, 268
1.3499991, 17892.232, 270
1.3599991, 18025.498, 272
1.369999, 18159.74, 274
1.379999, 18295.348, 276
1.389999, 18432.348, 278
1.399999, 18569.773, 280
1.409999, 18708.396, 282
1.419999, 18848.787, 284
1.429999, 18990.46, 286
1.439999, 19133.16, 288
1.449999, 19277.094, 290
1.459999, 19422.436, 292
1.469999, 19569.336, 294
1.479999, 19716.975, 296
1.4899989, 19866.223, 298
1.4999989, 20016.453, 300
1.5099989, 20168.266, 302
1.5199989, 20320.592, 304
1.5299989, 20474.342, 306
1.5399989, 20628.752, 308
1.5499989, 20784.85, 310
1.5599989, 20941.96, 312
1.5699989, 21100.94, 314
1.5799989, 21261.072, 316
1.5899988, 21422.625, 318
1.5999988, 21585.697, 320
1.6099988, 21749.52, 322
1.6199988, 21914.514, 324
1.6299988, 22080.213, 326
1.6399988, 22246.822, 328
1.6499988, 22415.17, 330
1.6599988, 22584.791, 332
1.6699988, 22756.346, 334
1.6799988, 22929.416, 336
1.6899987, 23104.432, 338
1.6999987, 23280.275, 340
