t, E, n
2.0E-4, 196.41881, 2
0.0012999998, 1278.0698, 13
0.0023999996, 2361.2627, 24
0.0035000003, 3444.9329, 35
0.0045999996, 4527.0693, 46
0.005699998, 5606.381, 57
0.006799996, 6682.115, 68
0.007899994, 7754.7163, 79
0.008999992, 8830.766, 90
0.01009999, 9903.095, 101
0.011199988, 10973.474, 112
0.012299987, 12040.582, 123
0.013399985, 13109.533, 134
0.014499983, 14173.784, 145
0.015599981, 15234.736, 156
0.01669998, 16295.725, 167
0.017799977, 17357.2, 178
0.018899975, 18415.236, 189
0.019999973, 19469.965, 200
0.021099972, 20526.727, 211
0.02219997, 21581.48, 222
0.023299968, 22637.336, 233
0.024399966, 23691.71, 244
0.025499964, 24742.965, 255
0.026599962, 25795.41, 266
0.02769996, 26842.338, 277
0.028799959, 27888.957, 288
0.029899957, 28934.793, 299
0.030999955, 29979.068, 310
0.03209997, 31022.812, 321
0.03319999, 32061.248, 332
0.034300007, 33098.67, 343
0.035400026, 34136.016, 354
0.036500044, 35170.105, 365
0.037600063, 36201.95, 376
0.03870008, 37234.73, 387
0.0398001, 38260.023, 398
0.04090012, 39288.19, 409
0.042000137, 40315.84, 420
0.043100156, 41344.543, 431
0.044200175, 42374.98, 442
0.045300193, 43404.703, 453
0.04640021, 44433.02, 464
0.04750023, 45459.63, 475
0.04860025, 46484.848, 486
0.049700268, 47512.27, 497
0.050800286, 48538.34, 508
0.051900305, 49567.85, 519
0.053000323, 50596.45, 530
0.054100342, 51622.832, 541
0.05520036, 52647.086, 552
0.05630038, 53669.785, 563
0.057400398, 54688.035, 574
0.058500417, 55709.51, 585
0.059600435, 56726.926, 596
0.060700454, 57741.582, 607
0.061800472, 58756.402, 618
0.06290049, 59766.965, 629
0.06400051, 60775.785, 640
0.06510053, 61783.71, 651
0.06620055, 62793.85, 662
0.067300566, 63802.367, 673
0.068400584, 64815.547, 684
0.0695006, 65822.805, 695
0.07060062, 66827.586, 706
0.07170064, 67832.305, 717
0.07280066, 68832.08, 728
0.07390068, 69832.13, 739
0.075000696, 70830.63, 750
0.076100715, 71827.016, 761
0.07720073, 72824.664, 772
0.07830075, 73819.305, 783
0.07940077, 74815.47, 794
0.08050079, 75809.06, 805
0.08160081, 76802.664, 816
0.082700826, 77799.21, 827
0.083800845, 78788.93, 838
0.08490086, 79778.086, 849
0.08600088, 80766.984, 860
0.0871009, 81753.805, 871
0.08820092, 82741.1, 882
0.08930094, 83730.29, 893
0.09040096, 84721.08, 904
0.091500975, 85712.164, 915
0.092600994, 86698.87, 926
0.09370101, 87688.234, 937
0.09480103, 88674.625, 948
0.09590105, 89660.81, 959
0.09700107, 90647.16, 970
0.09810109, 91636.086, 981
0.099201106, 92626.06, 992
0.100301124, 93618.695, 1003
0.10140114, 94611.36, 1014
0.10250116, 95600.27, 1025
0.10360118, 96590.35, 1036
0.1047012, 97582.45, 1047
0.10580122, 98572.36, 1058
0.106901236, 99558.7, 1069
0.108001254, 100543.99, 1080
0.10910127, 101530.43, 1091
0.11020129, 102516.375, 1102
0.11130131, 103499.91, 1113
0.11240133, 104485.79, 1124
0.11350135, 105473.14, 1135
0.114601366, 106455.055, 1146
