t, E,n,m
0.01, 977.21216, 1000, 6
0.02, 1949.7018, 2000, 2
0.03, 2917.3154, 3000, 2
0.04, 3879.4019, 4000, 3
0.049999997, 4837.233, 5000, 2
0.059999995, 5790.687, 6000, 2
0.06999999, 6739.548, 7000, 2
0.07999999, 7683.645, 8000, 3
0.08999999, 8624.559, 9000, 2
0.09999999, 9561.535, 10000, 7
0.109999985, 10494.738, 11000, 2
0.11999998, 11425.618, 12000, 1
0.12999998, 12353.787, 13000, 1
0.13999999, 13278.151, 14000, 2
0.14999999, 14198.7705, 15000, 1
0.16, 15116.61, 16000, 1
0.17, 16032.185, 17000, 1
0.18, 16944.805, 18000, 2
0.19000001, 17854.66, 19000, 2
0.20000002, 18762.482, 20000, 2
0.21000002, 19667.27, 21000, 1
0.22000003, 20568.75, 22000, 1
0.23000003, 21467.248, 23000, 2
0.24000004, 22362.682, 24000, 1
0.25000003, 23255.129, 25000, 2
0.26000002, 24145.959, 26000, 1
0.27, 25033.316, 27000, 1
0.28, 25918.424, 28000, 1
0.29, 26802.129, 29000, 1
0.29999998, 27683.377, 30000, 2
0.30999997, 28562.553, 31000, 1
0.31999996, 29440.016, 32000, 2
0.32999995, 30314.889, 33000, 1
0.33999994, 31188.025, 34000, 2
0.34999993, 32058.95, 35000, 2
0.35999992, 32927.938, 36000, 3
0.36999992, 33794.527, 37000, 2
0.3799999, 34659.8, 38000, 3
0.3899999, 35523.895, 39000, 3
0.3999999, 36385.863, 40000, 3
0.40999988, 37246.43, 41000, 3
0.41999987, 38105.414, 42000, 6
0.42999986, 38963.047, 43000, 2
0.43999985, 39819.082, 44000, 4
0.44999984, 40673.3, 45000, 5
0.45999983, 41523.297, 46000, 4
0.46999982, 42372.027, 47000, 6
0.4799998, 43221.76, 48000, 4
0.4899998, 44067.01, 49000, 3
0.4999998, 44910.83, 50000, 3
0.5099998, 45754.215, 51000, 4
0.5199998, 46595.227, 52000, 7
0.5299998, 47434.566, 53000, 7
0.5399998, 48273.082, 54000, 4
0.5499998, 49110.84, 55000, 7
0.55999976, 49948.062, 56000, 6
0.56999975, 50784.145, 57000, 4
0.57999974, 51618.336, 58000, 7
0.58999974, 52453.098, 59000, 7
0.5999997, 53285.633, 60000, 5
0.6099997, 54117.18, 61000, 12
0.6199997, 54948.746, 62000, 3
0.6299997, 55778.477, 63000, 3
0.6399997, 56606.62, 64000, 4
0.6499997, 57433.93, 65000, 8
0.65999967, 58260.598, 66000, 7
0.66999966, 59086.54, 67000, 6
0.67999965, 59912.6, 68000, 8
0.68999964, 60736.418, 69000, 9
0.69999963, 61561.062, 70000, 9
0.7099996, 62383.99, 71000, 5
0.7199996, 63205.785, 72000, 9
0.7299996, 64027.5, 73000, 9
0.7399996, 64847.047, 74000, 3
0.7499996, 65665.3, 75000, 7
0.7599996, 66479.12, 76000, 9
0.76999956, 67295.5, 77000, 9
0.77999955, 68111.35, 78000, 5
0.78999954, 68923.39, 79000, 6
0.79999954, 69736.49, 80000, 9
0.8099995, 70550.92, 81000, 9
0.8199995, 71360.46, 82000, 8
