t, E,n,m
0.01,977.21216,1000,6
0.02,1949.7018,2000,6
0.03,2917.3154,3000,6
0.04,3879.4019,4000,6
0.049999997,4837.233,5000,6
0.059999995,5790.687,6000,6
0.06999999,6739.548,7000,6
0.07999999,7683.645,8000,6
0.08999999,8624.559,9000,6
0.09999999,9561.535,10000,7
0.109999985,10494.738,11000,7
0.11999998,11425.618,12000,7
0.12999998,12353.787,13000,7
0.13999999,13278.151,14000,7
0.14999999,14198.7705,15000,7
0.16,15116.61,16000,7
0.17,16032.185,17000,7
0.18,16944.805,18000,7
0.19000001,17854.66,19000,7
0.20000002,18762.482,20000,7
0.21000002,19667.27,21000,7
0.22000003,20568.75,22000,7
0.23000003,21467.248,23000,7
0.24000004,22362.682,24000,7
0.25000003,23255.129,25000,7
0.26000002,24145.959,26000,7
0.27,25033.316,27000,7
0.28,25918.424,28000,7
0.29,26802.129,29000,7
0.29999998,27683.377,30000,7
0.30999997,28562.553,31000,7
0.31999996,29440.016,32000,7
0.32999995,30314.889,33000,7
0.33999994,31188.025,34000,7
0.34999993,32058.95,35000,7
0.35999992,32927.938,36000,7
0.36999992,33794.527,37000,7
0.3799999,34659.8,38000,7
0.3899999,35523.895,39000,7
0.3999999,36385.863,40000,7
0.40999988,37246.43,41000,7
0.41999987,38105.414,42000,7
0.42999986,38963.047,43000,7
0.43999985,39819.082,44000,7
0.44999984,40673.3,45000,7
0.45999983,41523.297,46000,7
0.46999982,42372.027,47000,7
0.4799998,43221.76,48000,7
0.4899998,44067.01,49000,7
0.4999998,44910.83,50000,7
0.5099998,45754.215,51000,7
0.5199998,46595.227,52000,7
0.5299998,47434.566,53000,7
0.5399998,48273.082,54000,7
0.5499998,49110.84,55000,7
0.55999976,49948.062,56000,7
0.56999975,50784.145,57000,7
0.57999974,51618.336,58000,7
0.58999974,52453.098,59000,7
0.5999997,53285.633,60000,7
0.6099997,54117.18,61000,12
0.6199997,54948.746,62000,12
0.6299997,55778.477,63000,12
0.6399997,56606.62,64000,12
0.6499997,57433.93,65000,12
0.65999967,58260.598,66000,12
0.66999966,59086.54,67000,12
0.67999965,59912.6,68000,12
0.68999964,60736.418,69000,12
0.69999963,61561.062,70000,12
0.7099996,62383.99,71000,12
0.7199996,63205.785,72000,12
0.7299996,64027.5,73000,12
0.7399996,64847.047,74000,12
0.7499996,65665.3,75000,12
0.7599996,66479.12,76000,12
0.76999956,67295.5,77000,12
0.77999955,68111.35,78000,12
0.78999954,68923.39,79000,12
0.79999954,69736.49,80000,12
0.8099995,70550.92,81000,12
0.8199995,71360.46,82000,12
0.8299995,72170.82,83000,12
0.8399995,72981.08,84000,12
0.8499995,73791.125,85000,12
0.8599995,74599.45,86000,12
0.86999947,75407.61,87000,12
0.87999946,76218.19,88000,12
0.88999945,77022.74,89000,12
0.89999944,77826.86,90000,12
0.90999943,78629.695,91000,12
0.9199994,79435.52,92000,12
0.9299994,80236.516,93000,12
0.9399994,81037.05,94000,12
0.9499994,81837.06,95000,12
0.9599994,82635.625,96000,12
0.9699994,83432.88,97000,12
0.97999936,84229.64,98000,12
0.98999935,85025.49,99000,12
0.99999934,85820.79,100000,12
1.0099994,86615.484,101000,12
1.0199994,87407.7,102000,12
1.0299994,88200.48,103000,13
1.0399994,88989.75,104000,13
1.0499994,89779.32,105000,13
1.0599993,90566.516,106000,14
1.0699993,91354.484,107000,14
1.0799993,92141.55,108000,14
1.0899993,92927.01,109000,14
1.0999993,93712.35,110000,14
1.1099993,94494.47,111000,14
1.1199993,95280.18,112000,21
1.1299993,96061.47,113000,21
1.1399993,96842.945,114000,21
1.1499993,97624.66,115000,21
1.1599993,98406.25,116000,21
1.1699992,99186.64,117000,21
1.1799992,99965.03,118000,21
1.1899992,100740.055,119000,21
1.1999992,101517.32,120000,21
1.2099992,102295.43,121000,21
1.2199992,103070.43,122000,21
1.2299992,103844.805,123000,21
1.2399992,104619.06,124000,21
1.2499992,105392.484,125000,21
1.2599992,106165.65,126000,21
1.2699991,106937.18,127000,21
1.2799991,107707.95,128000,21
1.2899991,108478.54,129000,21
1.2999991,109249.15,130000,21
1.3099991,110018.77,131000,21
1.3199991,110787.91,132000,21
1.3299991,111558.305,133000,21
1.3399991,112327.18,134000,21
1.3499991,113095.92,135000,21
1.3599991,113863.51,136000,21
1.369999,114632.24,137000,21
1.379999,115399.59,138000,21
1.389999,116166.55,139000,21
1.399999,116933.86,140000,21
1.409999,117702.984,141000,21
1.419999,118468.164,142000,21
1.429999,119235.055,143000,21
1.439999,120001.055,144000,21
1.449999,120766.0,145000,21
