t, E,n,m,variacion_absoluta
0.054999995200000006,5296.083826,5500.0,3.1,1.4444444444444444
0.15499999550000002,14646.18065,15500.0,1.5,0.9
0.25500001499999997,23690.428399999997,25500.0,1.3,0.6
0.354999929,32485.6456,35500.0,2.2,0.7
0.454999835,41090.2197,45500.0,4.0,1.6
0.5549997689999999,49525.7204,55500.0,5.8,1.8
0.654999675,57844.217099999994,65500.0,6.9,2.6
0.7549995789999999,66067.5472,75500.0,7.1,2.8
0.854999482,74192.9255,85500.0,9.0,1.3
0.9549993880000001,82232.02660000001,95500.0,10.5,1.8
1.05499935,90169.4644,105500.0,11.0,3.0
1.1549992599999999,98011.902,115500.0,12.7,2.4
1.2549991600000001,105776.0679,125500.0,11.8,2.6
1.35499906,113478.3835,135500.0,12.5,2.2
1.45499898,121146.0493,145500.0,11.8,2.2
1.55499888,128777.041,155500.0,12.4,2.1
1.6549987800000001,136354.399,165500.0,11.3,1.3
1.75499869,143889.463,175500.0,12.9,3.1
1.85499859,151428.533,185500.0,13.2,1.2
1.9549984999999999,158958.6,195500.0,16.9,5.4
2.05499852,166459.965,205500.0,16.1,2.3
2.15499842,173928.602,215500.0,16.6,1.7
2.2549983300000003,181355.986,225500.0,18.5,2.0
2.35499823,188763.438,235500.0,17.2,1.5
2.4549981,196167.622,245500.0,20.1,2.5
2.5549980000000003,203558.859,255500.0,17.9,1.6
2.654998,210947.623,265500.0,18.9,1.3
2.75499787,218348.01299999998,275500.0,19.5,1.3
2.85499775,225764.616,285500.0,18.4,0.8
2.95499766,233186.708,295500.0,19.4,1.3
3.05499756,240613.27599999998,305500.0,21.8,3.2
3.15499747,248049.84100000001,315500.0,19.8,0.7
3.2549973699999994,255485.205,325500.0,20.8,0.8
3.35499728,262895.86,335500.0,23.6,5.0
3.4549971800000003,270266.677,345500.0,22.0,1.8
3.5549970199999996,277598.138,355500.0,24.7,5.6
3.6549970000000003,284945.606,365500.0,23.2,1.4
3.7549969699999997,292276.103,375500.0,23.1,1.9
3.8549968,299605.596,385500.0,25.5,4.6
3.9549967,306891.56799999997,395500.0,26.1,2.1
4.05499794,314176.558,405500.0,27.1,3.8
4.15500021,321419.744,415500.0,25.3,3.2
4.2550025,328632.771,425500.0,25.9,1.5
4.355004790000001,335838.91099999996,435500.0,25.9,1.7
4.455007050000001,343032.881,445500.0,29.8,7.3
4.5550093799999996,350200.352,455500.0,27.4,1.0
4.6550116599999996,357379.481,465500.0,28.1,2.5
4.75501395,364562.92199999996,475500.0,30.5,5.6
4.8550162299999995,371735.443,485500.0,29.1,1.8
4.95501851,378886.99,495500.0,32.1,5.1
5.05502082,386026.30299999996,505500.0,30.2,2.2
5.15502307,393160.647,515500.0,34.9,7.4
5.25502539,400287.344,525500.0,35.9,7.7
5.35502769,407425.574,535500.0,32.6,2.1
5.45502998,414553.267,545500.0,33.2,1.7
5.55503225,421677.19800000003,555500.0,34.0,1.1
5.65503452,428803.708,565500.0,34.0,2.7
5.75503685,435919.80700000003,575500.0,35.0,2.2
5.8550391,443048.728,585500.0,37.4,6.5
5.9550414,450197.499,595500.0,35.1,2.3
6.0550437200000005,457364.625,605500.0,39.1,6.9
6.15504599,464513.39400000003,615500.0,38.5,3.8
6.25504827,471651.983,625500.0,40.7,4.6
6.3550505600000005,478751.72199999995,635500.0,38.2,5.3
6.45505286,485818.64,645500.0,42.0,8.9
6.55505514,492846.018,655500.0,41.3,6.8
6.655057429999999,499874.75,665500.0,39.5,3.1
6.75505972,506889.91,675500.0,40.0,3.0
6.85506201,513895.966,685500.0,44.5,7.3
6.95506428,520879.503,695500.0,44.1,6.8
7.055066599999999,527821.196,705500.0,45.4,7.0
7.155068869999999,534728.454,715500.0,45.4,6.9
7.255071150000001,541653.909,725500.0,46.5,7.2
7.35507348,548552.054,735500.0,46.6,5.2
7.455075750000001,555476.5689999999,745500.0,43.2,5.7
7.555078020000001,562362.654,755500.0,46.8,7.9
7.655080289999999,569228.071,765500.0,47.3,6.4
7.75508261,576095.496,775500.0,49.6,8.3
7.855084929999999,582972.401,785500.0,47.7,7.7
7.95508716,589829.75,795500.0,46.6,1.9
8.055088999999999,596647.013,805500.0,51.3,8.2
8.15509125,603417.62,815500.0,50.3,7.2
8.2550936,610188.77,825500.0,48.0,4.3
8.355095850000001,616985.6470000001,835500.0,49.4,3.4
8.455098150000001,623763.471,845500.0,50.2,4.1
8.5551004,630508.239,855500.0,49.5,3.6
8.6551028,637268.912,865500.0,53.2,8.4
8.755105,644025.598,875500.0,53.4,9.8
8.85510725,650777.074,885500.0,53.7,6.5
8.95510965,657524.83,895500.0,52.4,3.5
9.0551119,664296.364,905500.0,53.9,5.8
9.15511415,671046.1599999999,915500.0,53.8,7.0
9.25511645,677741.986,925500.0,58.3,9.2
