t, n, Tsim, raw
0.03, 1000,10.0,
0.06, 1000,6.0,
0.089999996, 1000,6.0,
0.12, 1000,5.0,
0.14999999, 1000,3.0,
0.17999999, 1000,8.0,
0.21, 1000,2.0,
0.24, 1000,2.0,
0.26999998, 1000,2.0,
0.29999998, 1000,3.0,
0.32999998, 1000,2.0,
0.35999998, 1000,2.0,
0.39, 1000,2.0,
0.42, 1000,2.0,
0.45, 1000,2.0,
0.48, 1000,3.0,
0.51, 1000,2.0,
0.53999996, 1000,2.0,
0.56999993, 1000,2.0,
0.5999999, 1000,2.0,
0.6299999, 1000,2.0,
0.65999985, 1000,2.0,
0.6899998, 1000,2.0,
0.7199998, 1000,2.0,
0.74999976, 1000,2.0,
0.77999973, 1000,2.0,
0.8099997, 1000,2.0,
0.8399997, 1000,2.0,
0.86999965, 1100,3.0,
0.8999996, 1100,2.0,
0.9299996, 1100,2.0,
0.95999956, 1100,2.0,
0.98999953, 1100,2.0,
1.0199995, 1100,2.0,
1.0499995, 1100,2.0,
1.0799994, 1100,2.0,
1.1099994, 1100,2.0,
1.1399994, 1100,2.0,
1.1699994, 1100,2.0,
1.1999993, 1100,2.0,
1.2299993, 1100,3.0,
1.2599993, 1100,3.0,
1.2899992, 1100,3.0,
1.3199992, 1100,3.0,
1.3499992, 1100,3.0,
1.3799992, 1100,2.0,
1.4099991, 1100,3.0,
1.4399991, 1100,3.0,
1.4699991, 1100,2.0,
1.499999, 1200,3.0,
1.529999, 1200,2.0,
1.559999, 1200,3.0,
1.589999, 1200,2.0,
1.6199989, 1200,3.0,
1.6499989, 1200,3.0,
1.6799989, 1200,3.0,
1.7099988, 1200,3.0,
1.7399988, 1200,3.0,
1.7699988, 1200,2.0,
1.7999988, 1200,2.0,
1.8299987, 1200,2.0,
1.8599987, 1200,2.0,
1.8899987, 1200,2.0,
1.9199986, 1200,3.0,
1.9499986, 1200,4.0,
1.9799986, 1200,3.0,
2.0099986, 1200,2.0,
2.0399985, 1300,3.0,
2.0699985, 1300,2.0,
2.0999985, 1300,2.0,
2.1299984, 1300,3.0,
2.1599984, 1300,2.0,
2.1899984, 1300,2.0,
2.2199984, 1300,2.0,
2.2499983, 1300,3.0,
2.2799983, 1300,2.0,
2.3099983, 1300,2.0,
2.3399982, 1300,3.0,
2.3699982, 1300,3.0,
2.3999982, 1300,2.0,
2.4299982, 1300,2.0,
2.4599981, 1300,2.0,
2.489998, 1300,2.0,
2.519998, 1400,2.0,
2.549998, 1400,2.0,
2.579998, 1400,3.0,
2.609998, 1400,3.0,
2.639998, 1400,3.0,
2.669998, 1400,2.0,
2.699998, 1400,2.0,
2.7299979, 1400,3.0,
2.7599978, 1400,3.0,
2.7899978, 1400,3.0,
2.8199978, 1400,3.0,
2.8499978, 1400,3.0,
2.8799977, 1400,3.0,
2.9099977, 1400,3.0,
