 n,col2
 1000,31.75
 1099,13.764705882352942
 1199,12.916666666666666
 1299,13.235294117647058
 1399,13.285714285714286
 1499,15.714285714285714
 1599,15.461538461538462
 1699,18
 1799,20.11111111111111
 1899,20.636363636363637
 1999,23.22222222222222
 2099,24.285714285714285
 2199,26.142857142857142
 2299,29
 2399,29.142857142857142
 2499,31.666666666666668
 2599,44.2
 2699,37.333333333333336
 2799,41.166666666666664
 2899,43.666666666666664
 2999,45.4
 3099,54.2
 3199,57
 3297,59
 3299,59
 3392,62
 3394,62.5
 3397,63
 3491,67.5
 3492,75
 3591,79.75
 3689,85
 3690,81
 3789,83.5
 3887,126
 3888,86
 3981,94
 3985,97
 4066,104
 4072,100
 4077,104
 4141,114
 4159,114
 4219,112
 4229,113
 4293,128
 4306,118
 4372,123
 4384,130
 4448,125
 4460,129
 4502,126
 4531,128
 4574,126
 4648,128
 4656,131
 4735,131
 4744,133
 4823,134
 4825,144
 4828,143
 4921,139
 5020,164
 5021,152
 5120,156
 5220,163.5
 5320,177
 5420,177.5
 5520,188
 5620,185
 5720,191.5
 5820,209
 5920,221
 6020,224
 6120,231
 6220,240
 6320,238
 6420,241
 6520,254
 6620,259
 6720,259
 6820,275
 6920,279
 7020,282
 7120,293
 7220,320
 7320,299
 7420,288
 7520,313
 7620,302
 7820,328
 8020,350
 8120,350
 8320,369
 8520,393
 8720,399
 8820,399
 9020,412
 9120,418
 9220,445
 9420,464
 9520,479
 9620,492
 9820,498
 9919,515
 10019,533
 10119,519
