t, n, Tsim, deviation, collisionCount
0.05, 20,0.0,0,3
0.7500001, 20,0.0,0,1
0.80000013, 20,0.0,1,2
0.85000014, 20,0.0,2,2
6.4000063, 20,0.0,0,1
9.150017, 20,0.0,0,1
9.550018, 20,1.0,0,2
9.6000185, 20,1.0,0,1
9.650019, 20,0.0,0,1
9.750019, 20,0.0,0,1
10.250021, 20,0.0,0,2
12.300029, 20,0.0,0,1
13.850035, 20,0.0,0,1
14.250036, 20,0.0,0,1
15.400041, 20,1.0,0,2
15.450041, 20,0.0,0,3
15.500041, 20,0.0,0,2
15.550041, 20,1.0,0,2
15.700042, 20,0.0,0,1
15.900043, 20,0.0,0,1
16.10004, 20,0.0,0,1
16.700031, 20,0.0,0,2
16.75003, 20,0.0,0,2
16.80003, 20,0.0,0,2
16.850029, 20,0.0,0,1
16.900028, 20,0.0,0,1
17.050026, 20,0.0,0,2
17.100025, 20,0.0,0,1
17.950012, 20,0.0,0,2
18.000011, 20,0.0,0,1
18.300007, 20,0.0,0,2
18.350006, 20,0.0,0,1
19.049995, 20,0.0,0,1
19.149994, 20,0.0,0,2
19.199993, 20,0.0,0,1
21.34996, 20,0.0,0,2
21.39996, 20,0.0,0,1
21.549957, 20,0.0,0,1
21.949951, 20,0.0,0,1
22.799938, 20,0.0,0,1
23.94992, 20,0.0,0,1
26.59988, 20,0.0,0,2
26.64988, 20,0.0,0,1
26.749878, 20,0.0,0,1
26.849876, 20,0.0,0,2
26.899876, 20,1.0,0,1
27.999859, 20,0.0,0,1
29.049843, 20,0.0,0,1
33.09978, 20,0.0,0,1
33.14978, 20,1.0,0,1
33.549774, 20,0.0,0,1
34.49976, 20,0.0,0,2
34.54976, 20,0.0,0,2
34.59976, 20,0.0,0,1
38.749695, 20,0.0,0,1
38.799694, 20,0.0,0,2
38.849693, 20,0.0,0,1
39.349686, 20,0.0,0,1
40.34967, 20,0.0,0,2
40.39967, 20,0.0,0,1
43.999615, 20,0.0,0,3
44.049614, 20,0.0,0,1
44.649605, 20,0.0,0,2
44.699604, 20,0.0,0,3
44.749603, 20,0.0,0,1
45.949585, 20,0.0,0,4
45.999584, 20,0.0,0,2
47.69956, 20,0.0,0,2
