 n,col2
 1000,4.745562130177515
 1100,6.033783783783784
 1200,7.614035087719298
 1300,8.681818181818182
 1400,10.047058823529412
 1500,11.56701030927835
 1600,12.890243902439025
 1700,14.469696969696969
 1800,16.31578947368421
 1900,18.142857142857142
 2000,20.0625
 2100,22.02857142857143
 2200,24.482758620689655
 2300,26.962962962962962
 2400,29.23076923076923
 2500,31.923076923076923
 2600,34.78947368421053
 2700,37.75
 2800,41.53333333333333
 2900,44.857142857142854
 3000,48.5
 3100,51.75
 3200,55.5
 3300,59.72727272727273
 3400,64.36363636363636
 3500,69.1
 3600,73
 3700,77.66666666666667
 3800,84.55555555555556
 3900,87.375
 4000,92.11111111111111
 4100,97
 4200,102.125
 4300,108
 4400,113
 4500,119
 4600,124.5
 4700,129
 4800,134.66666666666666
 4900,140.6
 5000,147.16666666666666
 5100,153
 5200,159
 5300,164.6
 5400,170.2
 5500,177.5
 5600,183.8
 5700,190.5
 5800,197.2
 5900,203.5
 6000,210.5
 6100,217.8
 6200,225.36363636363637
 6300,231.4
