 n,col2
 1000,3.2916666666666665
 1100,2.774193548387097
 1200,2.4838709677419355
 1300,2.8214285714285716
 1400,2.925925925925926
 1500,3.3548387096774195
 1600,3.6296296296296298
 1700,4.15625
 1800,4.6923076923076925
 1900,4.733333333333333
 2000,5.260869565217392
 2100,5.423076923076923
 2200,6.3478260869565215
 2300,6.6521739130434785
 2400,6.619047619047619
 2500,6.818181818181818
 2600,7.2105263157894735
 2700,7.8
 2800,8.055555555555555
 2900,8.210526315789474
 3000,8.666666666666666
 3100,9.25
 3200,10.25
 3300,10.2
 3400,10.928571428571429
 3500,11.076923076923077
 3600,11.8
 3700,12.5
 3800,12.615384615384615
 3900,13.666666666666666
 4000,14.166666666666666
 4100,14.727272727272727
 4200,15.083333333333334
 4300,15.818181818181818
 4400,16.6
 4500,16.8
 4600,17.555555555555557
 4700,18.444444444444443
 4800,19.22222222222222
 4900,19.88888888888889
 5000,21.22222222222222
 5100,21.428571428571427
 5200,22.875
 5300,22.875
 5400,25.285714285714285
 5500,24.857142857142858
 5600,26.142857142857142
 5700,26.428571428571427
 5800,27.166666666666668
 5900,28.166666666666668
 6000,29.285714285714285
 6100,29.833333333333332
 6200,31.2
 6300,32.666666666666664
 6400,33.2
 6500,33.666666666666664
 6600,34.8
 6700,36
 6800,36.833333333333336
 6900,37.5
 7000,38.6
 7100,39.6
 7200,40.8
 7300,41.8
 7400,42.75
 7500,44.4
 7600,45.75
 7700,47.4
 7800,47
 7900,47.75
 8000,48.75
 8100,50
 8200,50.75
 8300,52.75
 8400,53.5
 8500,54.333333333333336
 8600,56.5
 8700,57.333333333333336
 8800,58.25
 8900,60
 9000,61.666666666666664
 9100,62.666666666666664
 9200,64.33333333333333
 9300,64.5
 9400,66.66666666666667
 9500,67.33333333333333
 9600,68.33333333333333
 9700,70
 9800,72.66666666666667
 9900,72.5
 10000,67.2
