 n,col2
 1000,4.883720930232558
 1100,3.076923076923077
 1200,3.272727272727273
 1300,3.619047619047619
 1400,4.15
 1500,4.416666666666667
 1600,4.5
 1700,5.5
 1800,5.428571428571429
 1900,5.681818181818182
 2000,6.0588235294117645
 2100,6.266666666666667
 2200,7
 2300,7.111111111111111
 2400,7.846153846153846
 2500,7.923076923076923
 2600,8.23076923076923
 2700,9.181818181818182
 2800,9.818181818181818
 2900,9.692307692307692
 3000,10.357142857142858
 3100,11.083333333333334
 3200,11.166666666666666
 3300,11.923076923076923
 3400,13.333333333333334
 3500,13.3
 3600,13.88888888888889
 3700,14.625
 3800,14.777777777777779
 3900,15.25
 4000,17
 4100,16.875
 4200,17.285714285714285
 4300,18.5
 4400,19.5
 4500,20
 4600,20
 4700,21
 4800,21.333333333333332
 4900,22.2
 5000,23.4
 5100,24
 5200,25.2
 5300,25.666666666666668
 5400,26.5
 5500,27.8
 5600,28.5
 5700,29.4
 5800,31.25
 5900,31.5
 6000,34.25
 6100,34.75
 6200,36.75
 6300,38
 6400,38.75
 6500,39.666666666666664
 6600,40.25
 6700,44.666666666666664
 6800,43.25
 6900,45
 7000,46
 7100,46.666666666666664
 7200,47
 7300,49
 7400,50.333333333333336
 7500,51.666666666666664
 7600,54
 7700,56.666666666666664
 7800,56.75
 7900,59.333333333333336
 8000,60.333333333333336
 8100,62
 8200,64.33333333333333
 8300,64
 8400,66.66666666666667
 8500,69
 8600,72.33333333333333
 8700,74
 8800,76
 8900,78.5
 9000,80
 9100,82
 9200,83
 9300,85.5
 9400,90
 9500,94
 9600,95
 9700,95.5
 9800,98.66666666666667
 9900,100
 10000,100.66666666666667
