t, n, Tsim, deviation, collisionCount
197.65746, 80,0.0,1,5
197.70746, 80,0.0,0,5
197.75746, 80,0.0,0,3
197.80746, 80,0.0,0,2
197.85747, 80,0.0,0,2
197.95747, 80,0.0,0,1
198.05748, 80,0.0,0,1
198.15749, 80,0.0,0,1
198.3075, 80,0.0,0,5
198.3575, 80,0.0,0,3
198.4075, 80,0.0,0,2
198.4575, 80,0.0,0,3
198.5075, 80,0.0,0,4
198.55751, 80,0.0,0,3
198.60751, 80,0.0,0,2
198.80753, 80,0.0,0,2
198.85753, 80,0.0,0,3
198.90753, 80,0.0,0,3
198.95753, 80,0.0,0,4
199.00754, 80,0.0,0,3
199.05754, 80,0.0,0,2
199.10754, 80,0.0,0,2
199.20755, 80,0.0,0,2
199.25755, 80,0.0,0,2
199.30756, 80,0.0,0,2
199.40756, 80,0.0,0,3
199.45757, 80,0.0,0,6
199.50757, 80,0.0,0,7
199.55757, 80,0.0,0,11
199.60757, 80,0.0,0,6
199.65758, 80,0.0,0,1
199.70758, 80,0.0,0,5
199.75758, 80,0.0,0,3
199.80759, 80,0.0,0,3
199.85759, 80,0.0,0,5
199.9076, 80,0.0,0,11
199.9576, 80,0.0,0,9
200.0076, 80,0.0,0,7
200.0576, 80,0.0,0,8
200.1076, 80,0.0,0,5
200.15761, 80,0.0,0,7
200.20761, 80,0.0,0,8
200.25761, 80,0.0,0,8
200.30762, 80,0.0,0,3
200.35762, 80,0.0,0,8
200.40762, 80,1.0,0,8
200.45763, 80,0.0,0,14
200.50763, 80,0.0,0,8
200.55763, 80,0.0,0,4
200.60764, 80,0.0,0,5
200.65764, 80,0.0,0,4
200.70764, 80,0.0,0,8
200.75764, 80,0.0,0,5
200.80765, 80,0.0,0,3
200.85765, 80,0.0,0,4
200.90765, 80,0.0,0,3
200.95766, 80,0.0,0,1
201.00766, 80,0.0,0,3
201.05766, 80,0.0,0,3
201.10767, 80,0.0,0,4
201.15767, 80,0.0,0,2
201.20767, 80,0.0,0,2
201.25768, 80,0.0,0,4
201.30768, 80,0.0,0,4
201.35768, 80,0.0,0,5
201.40768, 80,0.0,0,4
201.45769, 80,0.0,0,5
201.50769, 80,0.0,0,8
201.5577, 80,0.0,0,5
201.6077, 80,0.0,0,6
201.6577, 80,0.0,0,4
201.7077, 80,0.0,0,3
201.7577, 80,0.0,0,2
201.80771, 80,0.0,0,1
201.85771, 80,0.0,0,4
201.90771, 80,0.0,0,4
201.95772, 80,0.0,0,1
202.00772, 80,0.0,0,2
202.05772, 80,0.0,0,1
202.15773, 80,0.0,0,1
202.20773, 80,0.0,0,2
202.25774, 80,0.0,0,6
202.30774, 80,0.0,0,7
202.35774, 80,0.0,0,5
202.40775, 80,0.0,0,3
202.45775, 80,0.0,0,3
202.50775, 80,0.0,0,2
202.55775, 80,0.0,0,2
202.65776, 80,0.0,0,2
202.85777, 80,0.0,0,3
202.90778, 80,0.0,0,1
203.00778, 80,0.0,0,1
203.10779, 80,0.0,0,1
203.15779, 80,0.0,0,3
203.2078, 80,0.0,0,1
203.2578, 80,0.0,0,1
203.3578, 80,0.0,0,2
203.4078, 80,0.0,0,3
