t, n, Tsim, deviation, collisionCount
0.05, 30,1.0,7,7
0.1, 30,1.0,5,4
0.15, 30,1.0,4,4
0.2, 30,0.0,0,0
0.25, 30,0.0,0,0
0.3, 30,0.0,0,0
0.35000002, 30,0.0,0,0
0.40000004, 30,0.0,0,0
0.45000005, 30,0.0,0,0
0.50000006, 30,0.0,0,0
0.5500001, 30,1.0,0,0
0.6000001, 30,0.0,0,0
0.6500001, 30,0.0,0,1
0.7000001, 30,0.0,0,0
0.7500001, 30,0.0,0,0
0.80000013, 30,0.0,0,0
0.85000014, 30,0.0,0,2
0.90000015, 30,0.0,0,4
0.95000017, 30,0.0,0,5
1.0000001, 30,0.0,0,4
1.0500001, 30,1.0,0,5
1.1, 30,0.0,0,3
1.15, 30,0.0,0,1
1.1999999, 30,0.0,0,0
1.2499999, 30,1.0,0,0
1.2999998, 30,0.0,0,0
1.3499998, 30,0.0,0,1
1.3999997, 30,0.0,0,0
1.4499997, 30,0.0,0,1
1.4999996, 30,0.0,0,0
1.5499996, 30,0.0,0,0
1.5999995, 30,0.0,0,0
1.6499995, 30,0.0,0,2
1.6999995, 30,0.0,0,2
1.7499994, 30,0.0,0,1
1.7999994, 30,0.0,0,0
1.8499993, 30,0.0,0,1
1.8999993, 30,0.0,0,0
1.9499992, 30,0.0,0,0
1.9999992, 30,0.0,0,0
2.0499992, 30,0.0,0,0
2.0999992, 30,0.0,0,0
2.1499991, 30,0.0,0,0
2.199999, 30,0.0,0,0
2.249999, 30,0.0,0,0
2.299999, 30,0.0,0,1
2.349999, 30,0.0,0,0
2.399999, 30,0.0,0,2
2.4499989, 30,0.0,0,1
2.4999988, 30,0.0,0,0
2.5499988, 30,0.0,0,0
2.5999987, 30,0.0,0,0
2.6499987, 30,0.0,0,0
2.6999986, 30,0.0,0,0
2.7499986, 30,0.0,0,0
2.7999985, 30,0.0,0,2
2.8499985, 30,0.0,0,1
2.8999984, 30,0.0,0,0
2.9499984, 30,0.0,0,0
2.9999983, 30,0.0,0,0
3.0499983, 30,0.0,0,0
3.0999982, 30,0.0,0,0
3.1499982, 30,0.0,0,2
3.1999981, 30,0.0,0,2
3.249998, 30,0.0,0,4
3.299998, 30,0.0,0,4
3.349998, 30,0.0,0,2
3.399998, 30,0.0,0,0
3.449998, 30,0.0,0,0
3.4999979, 30,0.0,0,0
3.5499978, 30,0.0,0,1
3.5999978, 30,0.0,0,0
3.6499977, 30,0.0,0,0
3.6999977, 30,0.0,0,2
3.7499976, 30,0.0,0,1
3.7999976, 30,0.0,0,0
3.8499975, 30,0.0,0,0
3.8999975, 30,0.0,0,0
3.9499974, 30,0.0,0,0
3.9999974, 30,1.0,0,1
4.0499973, 30,0.0,0,1
4.0999975, 30,0.0,0,1
4.1499977, 30,0.0,0,1
4.199998, 30,0.0,0,0
4.249998, 30,0.0,0,0
4.2999983, 30,0.0,0,2
4.3499985, 30,0.0,0,1
4.3999987, 30,0.0,0,0
4.449999, 30,0.0,0,0
4.499999, 30,0.0,0,1
4.549999, 30,0.0,0,0
4.5999994, 30,0.0,0,0
4.6499996, 30,0.0,0,0
4.7, 30,0.0,0,0
4.75, 30,0.0,0,0
4.8, 30,0.0,0,0
4.8500004, 30,0.0,0,0
4.9000006, 30,0.0,0,2
4.950001, 30,0.0,0,3
5.000001, 30,0.0,0,1
5.050001, 30,0.0,0,0
5.1000013, 30,0.0,0,0
5.1500015, 30,0.0,0,0
5.2000017, 30,0.0,0,1
5.250002, 30,0.0,0,0
5.300002, 30,0.0,0,0
5.3500023, 30,0.0,0,1
5.4000025, 30,0.0,0,0
5.4500027, 30,0.0,0,0
5.500003, 30,0.0,0,0
5.550003, 30,0.0,0,0
5.6000032, 30,0.0,0,0
5.6500034, 30,0.0,0,0
5.7000036, 30,0.0,0,0
5.750004, 30,0.0,0,0
5.800004, 30,0.0,0,0
5.850004, 30,0.0,0,0
5.9000044, 30,0.0,0,0
5.9500046, 30,0.0,0,2
6.000005, 30,0.0,0,1
6.050005, 30,0.0,0,0
6.100005, 30,0.0,0,0
6.1500053, 30,0.0,0,0
6.2000055, 30,0.0,0,1
6.2500057, 30,0.0,0,2
6.300006, 30,0.0,0,1
6.350006, 30,0.0,0,0
6.4000063, 30,0.0,0,0
6.4500065, 30,0.0,0,0
6.5000067, 30,0.0,0,0
6.550007, 30,0.0,0,0
6.600007, 30,0.0,0,0
6.6500072, 30,0.0,0,0
6.7000074, 30,0.0,0,0
6.7500076, 30,0.0,0,0
6.800008, 30,0.0,0,0
6.850008, 30,0.0,0,0
6.900008, 30,0.0,0,0
6.9500084, 30,0.0,0,0
7.0000086, 30,0.0,0,0
7.050009, 30,0.0,0,0
7.100009, 30,0.0,0,0
7.150009, 30,0.0,0,0
7.2000093, 30,0.0,0,0
7.2500095, 30,0.0,0,0
7.3000097, 30,0.0,0,0
7.35001, 30,0.0,0,0
7.40001, 30,0.0,0,0
7.4500103, 30,0.0,0,0
7.5000105, 30,0.0,0,2
7.5500107, 30,0.0,0,1
7.600011, 30,0.0,0,0
7.650011, 30,0.0,0,0
7.7000113, 30,0.0,0,0
7.7500114, 30,0.0,0,0
7.8000116, 30,0.0,0,0
7.850012, 30,0.0,0,0
7.900012, 30,0.0,0,0
7.950012, 30,0.0,0,0
8.000012, 30,0.0,0,0
8.050013, 30,0.0,0,0
8.100013, 30,0.0,0,0
8.150013, 30,0.0,0,0
8.200013, 30,0.0,0,0
8.250013, 30,0.0,0,0
8.300014, 30,0.0,0,0
8.350014, 30,0.0,0,0
8.400014, 30,0.0,0,0
8.450014, 30,0.0,0,0
8.500014, 30,0.0,0,0
8.5500145, 30,0.0,0,2
8.600015, 30,0.0,0,1
8.650015, 30,0.0,0,0
8.700015, 30,0.0,0,0
8.750015, 30,0.0,0,0
8.800015, 30,0.0,0,0
8.850016, 30,0.0,0,0
8.900016, 30,0.0,0,0
8.950016, 30,0.0,0,0
9.000016, 30,0.0,0,0
9.050016, 30,0.0,0,0
9.100017, 30,0.0,0,0
9.150017, 30,0.0,0,0
9.200017, 30,0.0,0,0
9.250017, 30,0.0,0,0
9.300017, 30,0.0,0,0
9.350018, 30,0.0,0,0
9.400018, 30,0.0,0,0
9.450018, 30,0.0,0,0
9.500018, 30,0.0,0,0
9.550018, 30,0.0,0,0
9.6000185, 30,0.0,0,3
9.650019, 30,0.0,0,2
9.700019, 30,0.0,0,1
9.750019, 30,0.0,0,3
9.800019, 30,0.0,0,1
9.850019, 30,0.0,0,0
9.90002, 30,0.0,0,0
9.95002, 30,0.0,0,0
10.00002, 30,0.0,0,0
10.05002, 30,0.0,0,0
10.10002, 30,0.0,0,1
10.150021, 30,0.0,0,0
10.200021, 30,0.0,0,0
10.250021, 30,1.0,0,1
10.300021, 30,0.0,0,1
10.350021, 30,0.0,0,1
10.400022, 30,0.0,0,3
10.450022, 30,0.0,0,2
10.500022, 30,0.0,0,1
10.550022, 30,0.0,0,0
10.600022, 30,0.0,0,0
10.6500225, 30,0.0,0,0
10.700023, 30,0.0,0,0
10.750023, 30,0.0,0,1
10.800023, 30,0.0,0,0
10.850023, 30,0.0,0,0
10.900023, 30,0.0,0,0
10.950024, 30,0.0,0,1
11.000024, 30,1.0,0,2
11.050024, 30,0.0,0,2
11.100024, 30,0.0,0,1
11.150024, 30,0.0,0,0
11.200025, 30,0.0,0,0
11.250025, 30,0.0,0,0
11.300025, 30,0.0,0,0
11.350025, 30,0.0,0,1
11.400025, 30,0.0,0,0
11.450026, 30,0.0,0,0
11.500026, 30,0.0,0,0
11.550026, 30,0.0,0,0
11.600026, 30,0.0,0,0
11.650026, 30,0.0,0,0
11.7000265, 30,0.0,0,0
11.750027, 30,0.0,0,0
11.800027, 30,0.0,0,0
11.850027, 30,0.0,0,0
11.900027, 30,0.0,0,0
11.950027, 30,0.0,0,0
12.000028, 30,0.0,0,0
12.050028, 30,0.0,0,0
12.100028, 30,0.0,0,0
12.150028, 30,0.0,0,0
12.200028, 30,0.0,0,0
12.250029, 30,0.0,0,0
12.300029, 30,0.0,0,0
12.350029, 30,0.0,0,0
12.400029, 30,0.0,0,0
12.450029, 30,0.0,0,4
12.50003, 30,0.0,0,3
12.55003, 30,0.0,0,2
12.60003, 30,0.0,0,2
12.65003, 30,0.0,0,2
12.70003, 30,0.0,0,1
