t, n, Tsim, deviation, collisionCount
0.05, 5,0.0,1,2
0.1, 5,0.0,0,2
0.15, 5,0.0,0,0
0.2, 5,0.0,0,0
0.25, 5,0.0,0,0
0.3, 5,0.0,0,0
0.35000002, 5,0.0,0,0
0.40000004, 5,0.0,0,0
0.45000005, 5,0.0,0,0
0.50000006, 5,0.0,0,0
0.5500001, 5,0.0,0,0
0.6000001, 5,0.0,0,0
0.6500001, 5,0.0,0,0
0.7000001, 5,0.0,0,0
0.7500001, 5,1.0,0,0
0.80000013, 5,0.0,0,0
0.85000014, 5,0.0,0,0
0.90000015, 5,0.0,0,0
0.95000017, 5,0.0,0,0
1.0000001, 5,0.0,0,0
1.0500001, 5,0.0,0,0
1.1, 5,0.0,0,0
1.15, 5,0.0,0,0
1.1999999, 5,0.0,0,0
1.2499999, 5,0.0,0,0
1.2999998, 5,0.0,0,0
1.3499998, 5,0.0,0,0
1.3999997, 5,0.0,0,0
1.4499997, 5,0.0,0,0
1.4999996, 5,0.0,0,0
1.5499996, 5,0.0,0,0
1.5999995, 5,0.0,0,0
1.6499995, 5,0.0,0,0
1.6999995, 5,0.0,0,0
1.7499994, 5,0.0,0,0
1.7999994, 5,1.0,0,0
1.8499993, 5,0.0,0,0
1.8999993, 5,0.0,0,0
1.9499992, 5,0.0,0,1
1.9999992, 5,0.0,0,0
2.0499992, 5,0.0,0,0
2.0999992, 5,0.0,0,0
2.1499991, 5,0.0,0,0
2.199999, 5,0.0,0,0
2.249999, 5,0.0,0,0
2.299999, 5,0.0,0,0
2.349999, 5,0.0,0,0
2.399999, 5,0.0,0,0
2.4499989, 5,0.0,0,0
2.4999988, 5,0.0,0,0
2.5499988, 5,0.0,0,0
2.5999987, 5,0.0,0,0
2.6499987, 5,0.0,0,0
2.6999986, 5,0.0,0,0
2.7499986, 5,0.0,0,0
2.7999985, 5,0.0,0,0
2.8499985, 5,0.0,0,0
2.8999984, 5,0.0,0,0
2.9499984, 5,0.0,0,0
2.9999983, 5,0.0,0,0
3.0499983, 5,0.0,0,0
3.0999982, 5,0.0,0,0
3.1499982, 5,0.0,0,0
3.1999981, 5,0.0,0,0
3.249998, 5,0.0,0,0
3.299998, 5,0.0,0,0
3.349998, 5,0.0,0,0
3.399998, 5,0.0,0,0
3.449998, 5,0.0,0,0
3.4999979, 5,0.0,0,0
3.5499978, 5,0.0,0,0
3.5999978, 5,0.0,0,0
3.6499977, 5,0.0,0,0
3.6999977, 5,0.0,0,0
3.7499976, 5,0.0,0,0
3.7999976, 5,0.0,0,0
3.8499975, 5,0.0,0,0
3.8999975, 5,0.0,0,0
3.9499974, 5,0.0,0,0
3.9999974, 5,0.0,0,0
4.0499973, 5,0.0,0,0
4.0999975, 5,0.0,0,0
4.1499977, 5,0.0,0,0
4.199998, 5,0.0,0,0
