 n,col2
 1000,5.177777777777778
 1100,4.417910447761194
 1200,4.138461538461539
 1300,5.072727272727272
 1400,5.288461538461538
 1500,5.657894736842105
 1600,6.585365853658536
 1700,7.194444444444445
 1800,8.15
 1900,9
 2000,9.78125
 2100,10.607142857142858
 2200,11.655172413793103
 2300,12.576923076923077
 2400,13.56
 2500,14.434782608695652
 2600,15.5
 2700,16.785714285714285
 2800,18.133333333333333
 2900,20.23076923076923
 3000,21.384615384615383
 3100,22.416666666666668
 3200,24.818181818181817
 3300,25.4
 3400,27.444444444444443
 3500,29.333333333333332
 3600,30.4
 3700,32.625
 3800,34.5
 3900,36.57142857142857
 4000,38.42857142857143
 4100,40.333333333333336
 4200,42.666666666666664
 4300,44.5
 4400,47.166666666666664
 4500,49.6
 4600,51.6
 4700,54.2
 4800,56.2
 4900,58.75
 5000,61.4
 5100,63.75
 5200,66.25
 5300,69
 5400,72.25
 5500,74.33333333333333
 5600,78
 5700,81
 5800,84.33333333333333
 5900,87
 6000,91
 6100,94.66666666666667
 6200,97.33333333333333
 6300,100
 6400,102.66666666666667
 6500,106.5
 6600,110
 6700,114
 6800,116.66666666666667
 6900,121
 7000,124.5
 7100,128.66666666666666
 7200,133
 7300,136.5
 7400,140.5
 7500,144.33333333333334
 7600,148
 7700,152.5
 7800,156
 7900,164.5
 8000,165
 8100,169.5
 8200,175
 8300,178.5
 8400,184
 8500,188
 8600,191.5
 8700,198
 8800,202
 8900,206
 9000,208.6
 9100,212
 9200,218
 9300,222
 9400,229.5
 9500,233.5
 9600,237.5
 9700,240.5
 9800,243.33333333333334
 9900,246.33333333333334
 10000,247.6
