 n,col2
 1000,5.904761904761905
 1100,5.2727272727272725
 1200,5
 1300,5.588235294117647
 1400,6.277777777777778
 1500,6.433333333333334
 1600,7.678571428571429
 1700,8.142857142857142
 1800,9.038461538461538
 1900,10.04
 2000,11.095238095238095
 2100,12.210526315789474
 2200,13.105263157894736
 2300,14.38888888888889
 2400,15.125
 2500,16.38888888888889
 2600,17.6875
 2700,18.833333333333332
 2800,20.53846153846154
 2900,21.6
 3000,23.153846153846153
 3100,24.454545454545453
 3200,26.1
 3300,27.875
 3400,29.5
 3500,31.125
 3600,33.375
 3700,34.875
 3800,36.5
 3900,38.42857142857143
 4000,41.285714285714285
 4100,42.285714285714285
 4200,44.857142857142854
 4300,47.333333333333336
 4400,49
 4500,52.166666666666664
 4600,54.333333333333336
 4700,56.4
 4800,58.75
 4900,61.2
 5000,63.4
 5100,67
 5200,69
 5300,72.66666666666667
 5400,73.75
 5500,78.25
 5600,84.33333333333333
 5700,83
 5800,85.33333333333333
 5900,89.33333333333333
 6000,91.66666666666667
 6100,96
 6200,98.66666666666667
 6300,102.5
 6400,105.33333333333333
 6500,109
 6600,114
 6700,117.33333333333333
 6800,121
 6900,124
 7000,128.5
 7100,130.5
 7200,135
 7300,138
 7400,142
 7500,147.5
 7600,151.5
 7700,155
 7800,161.5
 7900,163.5
 8000,169
 8100,171.5
 8200,176
 8300,183
 8400,185.5
 8500,191
 8600,195
 8700,199.66666666666666
 8800,201
 8900,204.66666666666666
 9000,209.66666666666666
 9100,213.33333333333334
 9198,217
 9296,219.5
 9297,223
 9298,220
 9396,228
 9496,226.66666666666666
 9596,230.33333333333334
 9696,233
 9796,235
 9896,240
 9996,243.33333333333334
 10096,245
